Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20
,Chile,-35.6751,-71.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,9,9,10,10,13,13,13,20,20,25,35,35,55,88,101,182,228,265,265,461,592,687,801,977,1197,1361,1665,2015,2245,2555,2844,3137,3510,3843,4355,4665,5009,5310,5740,6166,6695,7366,7652,7964,8356,8712,9246,9691,10598,10956,11375,11700,12164,12680,13174,14537,15010,15492,16044,16564,17702,18687,21213,22441,23421,24794,25826,27359,28750,32208,33855,35052,36710,39370,42029,44531,50016,52369,54647,58167,62205,66169,70445,80287,83996,88891,92855,97183,101837,105532,118720,123550,129020,132548,137490,142154,146361,160351,166756,171452,175365,181062,186698,193452,201634,208572,213715,218728,220628,225103,231393,236748,242355,246963,250767,254416,259064,263360,267766,271982,275999,279393,282043,284541,288089,291847,295532,298557,301019,303083,306216,309274,312029,315041,317657,319493,321205,323698,326439,328846,330930,333029,334683,336402,338759,341304,343592,345064,347281,349511,351755,354014,356288,358576,360879,363196,365529,367876,370239,372617,375010,377418,379842,382281,384736,387207,389694,392196,394715,397250,399801,402369,404953,407553,410171
,Santiago,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,9,10,14,23,29,40,54,123,152,174,247,304,359,409,459,540,682,746,938,1084,1167,1295,1420,1521,1636,1742,1957,2102,2244,2350,2548,2832,3193,3448,3599,3803,4086,4334,4682,4915,5192,5381,5643,5788,6083,6434,6761,7165,7496,7858,8300,8889,9625,10516,11661,12656,13528,14707,15582,16828,17979,18957,20353,21317,22709,24965,27216,29276,30794,32684,34451,37591,41179,44641,48350,51399,54544,58930,62285,66011,69915,72910,76251,80504,85239,88194,92191,95890,99066,103194,108462,112136,115126,119746,124135,129694,134751,140398,144280,148302,180532,183553,187974,191577,195366,198392,200861,203211,206246,208862,211819,214388,216896,219151,220467,221820,223892,226128,228208,229856,231171,232158,233845,235370,236699,238360,239791,240655,241345,242572,244073,245161,245983,246946,247622,248352,249355,250420,251317,251908,252838,253771,254707,255647,256591,257537,258488,259442,260399,261360,262325,263293,264265,265240,266219,267201,268187,269177,270170,271167,272168,273172,274181,275192,276208,277227,278250
,Latin America,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,8,23,23,26,31,37,52,63,96,107,129,169,204,376,482,563,851,1179,1461,2024,2798,3689,5022,5978,6987,8032,9441,10936,12688,14103,15387,18023,20877,23553,25938,28807,31317,33857,37348,43148,47976,54221,57980,61735,66463,70123,76238,81335,87729,94449,100095,105253,110972,117805,126775,145815,157966,165982,174051,185914,197945,212426,226073,239595,253629,267721,282310,302839,320932,340532,359996,374125,386876,404118,426695,450998,479192,506297,524182,548454,579102,612723,645986,680595,717961,748620,775298,808426,847443,891793,935980,997456,1034760,1063593,1113406,1156650,1206050,1254328,1309500,1347258,1378292,1428392,1482814,1535238,1580350,1626670,1669979,1708686,1764283,1814308,1859699,1938382,1994492,2033681,2076801,2139278,2204961,2271098,2342441,2405933,2458188,2502544,2558790,2630501,2704629,2773870,2838949,2889109,2931344,3001439,3071637,3143823,3218995,3286407,3335512,3378969,3449572,3518232,3595692,3665181,3731519,3784447,3832819,3906990,4007800,4105130,4196502,4278405,4328331,4415970,4505384,4596608,4689680,4784636,4881514,4980355,5081196,5184079,5289046,5396138,5505398,5616870,5730600,5846632,5965014,6085793,6209017,6334736,6463001,6593863,6727375,6863590,7002563,7144349,7289007,7436594
,Arica y Parinacota,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,4,6,6,6,7,12,12,28,41,53,63,75,87,107,115,115,120,124,129,134,142,145,161,170,180,210,239,245,252,265,268,272,279,297,307,308,308,315,318,325,327,337,340,351,351,359,363,368,377,378,398,422,424,453,471,482,498,513,522,541,562,582,588,619,636,654,701,736,782,819,850,874,914,930,967,1011,1062,1109,1139,1156,1218,1239,1295,1325,1371,1420,1443,1473,1511,1549,1611,1649,1685,1713,1776,1832,1889,1949,2006,2087,2119,2179,2273,2322,2395,2467,2562,2638,2735,2840,2936,3012,3056,3188,3291,3350,3482,3627,3727,3796,3916,4039,4166,4297,4432,4571,4715,4864,5016,5174,5337,5505,5678,5857,6041,6231,6427,6629,6837,7052,7274,7503,7739,7982,8233,8492,8759
,Tarapaca,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,5,5,6,8,10,10,12,13,17,20,21,23,26,29,35,38,46,52,62,62,66,73,81,90,93,104,114,128,134,143,156,164,169,183,198,200,212,272,295,322,339,417,459,485,520,547,578,615,682,779,845,975,1056,1109,1139,1246,1393,1471,1564,1630,1737,1811,1957,2093,2250,2361,2526,2594,2682,2810,2965,3094,3250,3392,3491,3591,3696,3823,4004,4145,4258,4365,4787,4869,4995,5143,5258,5355,5442,5504,5577,5712,5771,5893,5974,6049,6116,6215,6298,6372,6508,6632,6705,6789,6867,6961,7050,7147,7191,7217,7266,7353,7451,7557,7627,7761,7820,7869,7953,8079,8147,8194,8281,8369,8457,8547,8638,8729,8822,8915,9010,9106,9202,9300,9398,9498,9599,9701,9804,9908,10013,10119,10226,10335,10444,10555,10667,10780,10894
,Antofagasta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,10,11,11,13,19,20,21,25,27,35,35,39,47,54,55,60,68,69,77,92,110,117,138,149,155,176,192,211,226,249,263,291,326,340,366,391,443,457,481,514,546,589,679,740,760,811,855,895,923,947,978,1014,1109,1216,1277,1331,1429,1505,1589,1648,1731,1778,1841,1897,1947,2015,2063,2137,2248,2318,2429,2510,2585,2649,2716,2862,2924,3033,3154,3245,3402,3559,3753,3885,4038,4286,4556,4643,5241,5528,5828,6215,6461,6708,6991,7227,7515,7742,8027,8308,8625,8829,9083,9285,9570,9823,10119,10355,10594,10825,11077,11267,11580,11799,12034,12224,12389,12500,12716,12907,13109,13226,13309,13482,13648,13807,13939,14037,14194,14352,14513,14675,14838,15004,15172,15341,15512,15686,15861,16038,16217,16398,16581,16766,16953,17142,17334,17527,17723,17921,18121,18323,18528,18735,18944
,Atacama,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,5,5,5,6,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,18,21,24,29,35,35,42,43,43,59,67,70,78,80,87,88,117,124,133,134,139,140,143,146,149,157,158,163,168,175,182,182,185,188,197,202,207,215,218,232,236,242,258,269,281,306,339,348,365,389,413,436,448,484,502,561,586,623,650,683,718,747,785,837,887,925,956,1006,1043,1114,1135,1166,1208,1253,1301,1323,1357,1429,1467,1522,1576,1633,1674,1722,1734,1736,1817,1857,1895,1958,1989,2048,2109,2183,2199,2256,2316,2376,2439,2503,2568,2636,2705,2776,2849,2924,3000,3079,3160,3243,3328,3416,3505,3597,3692,3789,3888,3990,4095,4202,4313,4426
,Coquimbo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,11,12,13,14,15,18,27,28,30,34,35,44,50,51,52,56,61,61,64,66,66,66,66,68,68,68,68,69,69,70,70,72,73,73,74,74,76,76,77,78,88,91,97,97,100,111,129,135,140,148,153,165,180,187,194,212,239,263,268,281,294,323,338,384,455,482,537,597,628,668,687,718,772,832,898,990,1123,1175,1256,1345,1438,1512,1556,1676,1720,1980,2076,2195,2273,2359,2428,2485,2539,2637,2705,2781,2857,2961,3050,3119,3170,3224,3333,3434,3545,3621,3688,3779,3918,4026,4103,4166,4179,4277,4361,4486,4634,4792,4918,4988,5061,5208,5360,5522,5568,5704,5844,5986,6133,6283,6436,6594,6755,6920,7089,7263,7440,7622,7808,7999,8195,8395,8600,8811,9026,9247,9473,9704,9942,10185,10434,10689
,Valparaiso,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,13,16,19,25,32,44,49,71,80,108,115,136,156,176,185,191,198,214,225,230,241,248,254,273,285,299,330,345,359,381,388,403,421,429,436,454,460,485,493,526,559,568,614,638,656,687,716,781,828,878,933,970,1029,1123,1213,1312,1365,1474,1553,1639,1770,1887,2020,2116,2230,2305,2455,2576,2730,2842,3037,3167,3348,3595,3769,4017,4266,4580,4862,5149,5391,5614,5865,6171,6527,6758,7012,7262,8253,8473,8758,9014,9298,9615,9901,10187,10482,10797,11054,11307,11541,11752,12008,12201,12465,12766,13051,13231,13433,13598,13797,14053,14257,14516,14734,14903,15016,15068,15261,15406,15589,15771,15914,16118,16316,16475,16724,16817,17008,17200,17395,17592,17791,17993,18196,18402,18611,18821,19034,19250,19468,19688,19911,20136,20364,20595,20828,21064,21302,21544,21787,22034,22284,22536,22791
,O’Higgins,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,8,8,9,11,14,16,20,21,21,23,26,32,33,38,41,42,42,43,44,44,45,46,48,53,54,54,55,55,55,56,57,59,76,81,85,92,94,97,104,108,109,120,125,131,136,145,151,167,182,195,216,224,248,295,323,329,366,418,442,455,465,492,518,554,588,654,691,705,745,756,785,813,843,931,967,1016,1111,1183,1255,1317,1442,1552,1629,1788,1927,2012,2221,2797,3017,3311,3613,3952,4186,4361,4610,4868,5136,5322,5606,5844,6081,6245,6445,6625,6859,7068,7255,7468,7567,7761,8069,8210,8338,8487,8639,8755,8987,9163,9249,9366,9472,9559,9688,9817,9979,10083,10162,10293,10425,10559,10695,10833,10972,11113,11256,11401,11547,11696,11846,11998,12153,12309,12467,12627,12790,12954,13121,13290,13460,13633,13809,13986,14166,14348
