Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20
,Germany,51.165690999999995,10.451526,0,0,0,0,0,1,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,27,46,48,79,130,159,196,262,482,670,799,1040,1176,1457,1908,2078,3675,4585,5795,7272,9257,12327,15320,19848,22213,24873,29056,32986,37323,43938,50871,57695,62095,66885,71808,77872,84794,91159,96092,100123,103374,107663,113296,118181,122171,124908,127854,130072,131359,134753,137698,141397,143342,145184,147065,148291,150648,153129,154999,156513,157770,158758,159912,161539,163009,164077,164967,165664,166152,167007,168162,169430,170588,171324,171879,172576,173171,174098,174478,175233,175752,176369,176551,177778,178473,179021,179710,179986,180328,180600,181200,181524,182196,182922,183189,183410,183594,183879,184121,184472,184924,185450,185750,186109,186506,186522,186691,187226,187267,187518,187682,188252,188604,189817,190299,190670,191272,191768,192480,192871,193371,194036,194458,194693,195042,195418,195893,196370,196780,197198,197523,198064,198343,198699,199001,199332,199709,199919,200180,200456,200890,201450,202045,202426,202735,203325,203717,204276,204881,205623,206278,206667,207112,207707,208036,208568,209101,209636,210172,210710,211249,211789,212331,212874,213418,213964,214511,215060,215610,216161,216714,217269,217824,218381,218940,219500,220061,220624,221188,221754,222321,222890
,World,,,555,654,941,1434,2118,2927,5578,6166,8234,9928,12038,16788,19888,23898,27643,30802,34395,37129,40159,42768,44810,45228,60381,66908,69050,71234,73269,75151,75651,76211,76840,78601,78981,79545,80398,81375,82739,84116,86011,88395,90369,92947,95246,98037,101981,106019,109973,113875,118898,126561,132311,146718,157826,168975,183640,199487,219084,247003,276613,308922,342342,384509,425691,476574,539407,603807,671460,731037,795679,872085,948293,1029709,1112861,1193325,1265038,1337906,1414581,1498361,1585026,1672621,1749576,1846414,1916083,1985911,2066749,2163427,2251146,2327564,2405608,2478960,2554241,2633286,2720028,2817065,2899145,2970420,3037365,3111529,3189023,3271615,3358705,3439434,3516769,3592111,3672100,3762120,3852877,3945965,4031637,4107457,4183849,4266696,4351858,4448549,4544028,4638432,4716998,4805053,4901656,5004686,5111123,5218012,5323282,5418765,5506117,5599309,5702774,5819870,5941029,6078860,6186412,6281611,6403345,6522401,6648720,6779589,6915546,7027841,7129960,7254316,7388314,7526434,7655472,7791429,7924903,8044541,8186074,8328067,8468072,8649167,8806595,8935209,9072485,9237865,9409585,9588120,9778497,9957117,10119820,10276546,10450365,10668020,10875765,11079333,11273653,11456526,11622937,11833781,12046313,12273810,12506387,12723136,12916181,13107975,13330059,13560738,13813414,14055313,14293709,14508958,14714373,14948106,15228578,15511323,15792473,16048843,16254677,16487726,16740057,16937951,17198696,17463455,17732289,18005262,18282437,18563879,18849654,19139827,19434468,19733645,20037427,20345885,20659092,20977120,21300045,21627940,21960883,22298952,22642224,22990781,23344704,23704075,24068978,24439499,24815724,25197740,25585637
,European Union,,,0,0,2,3,3,4,8,10,10,14,19,21,29,30,31,31,32,41,44,44,47,48,49,50,51,51,52,52,53,55,56,56,61,63,78,109,175,237,370,561,773,977,1383,2026,3041,3947,4968,6054,8639,11705,12889,21871,26564,31757,39435,47322,56995,70915,85166,100100,114096,135974,155088,180419,209768,239252,269588,293653,321615,353404,384920,415148,446843,474571,496374,519838,545719,574064,601184,628358,649807,693349,712041,729993,754260,789319,812230,828567,849704,865456,883128,900763,918904,933412,945186,955151,967742,980126,991111,1001907,1012772,1021201,1028534,1035524,1045250,1057971,1068633,1078992,1086204,1092756,1102582,1110630,1118182,1125379,1132609,1138263,1142780,1148321,1155834,1163019,1169351,1176732,1181365,1185565,1189630,1195156,1200563,1207988,1213780,1219676,1223191,1226763,1230685,1236232,1240893,1246069,1251117,1255291,1259082,1263586,1267970,1273011,1278806,1283503,1287384,1291057,1295699,1300867,1307332,1313622,1317661,1320988,1324295,1330204,1335412,1340953,1346425,1350376,1353322,1359206,1363195,1368180,1372765,1377573,1381316,1384167,1389747,1393332,1398177,1403129,1408442,1412892,1416140,1422189,1427056,1432318,1438799,1445654,1450379,1454218,1463808,1469656,1476934,1485598,1494384,1500427,1505479,1517291,1524417,1528222,1535871,1543559,1551285,1559050,1566854,1574697,1582579,1590501,1598462,1606464,1614505,1622586,1630708,1638871,1647074,1655319,1663604,1671932,1680301,1688711,1697164,1705659,1714197,1722778,1731401,1740068,1748778
,Europe,,,0,0,2,3,3,4,8,10,10,16,21,23,31,32,33,33,35,44,47,47,50,51,52,53,54,54,55,55,56,58,76,118,216,292,400,563,832,1128,1502,2259,2821,3494,4495,5914,7717,9870,12399,15283,18885,24287,28161,39747,47957,56781,67753,79228,93187,112515,132941,154524,174327,201131,225715,256621,292472,328371,365097,394919,427439,464064,501116,537243,574744,608463,635906,664362,695027,728999,762635,796548,825148,875705,900676,925080,956290,999265,1030614,1055785,1086175,1108668,1134646,1161198,1187216,1211045,1231664,1250707,1271352,1292562,1311958,1331895,1352267,1372442,1391418,1409823,1430117,1454586,1477586,1499651,1518058,1535369,1556553,1575713,1593432,1610985,1628782,1643755,1657791,1671536,1688075,1703282,1717982,1733814,1747460,1759609,1771285,1784809,1797952,1813139,1826846,1840709,1852530,1864113,1875807,1889074,1901473,1914744,1927716,1939593,1951106,1962781,1974189,1987132,2000543,2013020,2024449,2035295,2047068,2059481,2072795,2086007,2096615,2106161,2115934,2128100,2139821,2151837,2163600,2173561,2182589,2194044,2203605,2214065,2224850,2235854,2245264,2254042,2265385,2274400,2285217,2296006,2307471,2318042,2327121,2338405,2348446,2359813,2372037,2385272,2396034,2405503,2420137,2431550,2444922,2459458,2474318,2485942,2497155,2514871,2527728,2537741,2551439,2565212,2579060,2592982,2606979,2621051,2635200,2649425,2663727,2678106,2692563,2707097,2721710,2736402,2751174,2766025,2780956,2795968,2811061,2826235,2841491,2856830,2872251,2887756,2903344,2919017,2934774
,Baden-Wurttemberg,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,10,14,15,19,26,44,65,91,116,182,199,237,277,454,454,569,827,1105,1641,2184,2748,3665,3818,3818,5333,6476,7285,8580,10272,11510,12485,13477,14147,14818,16653,18718,19713,20673,20879,21445,22585,23277,23969,24023,24078,24570,26446,27080,27400,27721,28828,29201,29575,29885,30110,30764,31418,31577,31841,32106,32335,32564,32988,33127,33266,33405,33493,33582,33689,33796,33904,34077,34250,34424,34509,34594,34680,34766,34848,34930,35012,35071,35130,35189,35248,35307,35349,35392,35435,35478,35518,35559,35600,35641,35659,35678,35697,35720,35744,35768,35793,35818,35843,35868,35893,35915,35938,35961,35984,36007,36034,36062,36090,36091,36092,36093,36094,36095,36096,36097,36098,36099,36100,36101,36103,36140,36178,36216,36236,36256,36276,36309,36342,36363,36384,36405,36426,36490,36554,36618,36682,36743,36804,36865,36927,36964,37001,37088,37175,37262,37349,37398,37431,37501,37570,37640,37710,37780,37850,37921,37991,38062,38132,38203,38274,38345,38416,38488,38559,38631,38703,38775,38847,38919,38991,39064,39136,39209,39282,39355
,Baveria,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,15,15,19,25,35,48,52,79,117,148,256,314,366,500,558,681,886,1067,1352,1798,2282,3107,3695,4457,5719,6666,7921,9487,11220,12737,14021,15160,15999,16838,19663,22164,23894,25376,25965,26533,28809,28827,30904,31453,32282,33015,34231,35174,35782,36390,37946,38123,38301,39251,39436,40244,41053,41216,41536,41856,42178,42501,43321,43504,43688,43872,44046,44221,44400,44580,44760,44987,45214,45442,45591,45740,45890,46040,46210,46380,46551,46660,46770,46880,46990,47100,47200,47300,47401,47502,47583,47665,47747,47829,47867,47906,47945,47993,48041,48089,48137,48185,48233,48282,48331,48338,48346,48354,48362,48370,48378,48386,48394,48402,48410,48418,48426,48434,48442,48502,48562,48605,48648,48692,48736,48805,48874,48944,49021,49098,49176,49234,49293,49365,49437,49510,49583,49669,49756,49843,49930,50000,50070,50140,50210,50252,50295,50434,50574,50714,50854,50931,50949,51053,51158,51263,51368,51473,51579,51685,51791,51897,52003,52110,52217,52324,52431,52538,52646,52754,52862,52971,53079,53188,53297,53406,53516,53625,53735,53846
,Berlin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9,15,24,28,40,48,90,137,174,216,265,300,383,519,688,868,1025,1071,1219,1425,1425,1937,2152,2337,2462,2581,2679,2777,3223,3486,3626,3687,3687,3862,4038,4202,4357,4458,4567,4601,4667,4736,4848,4971,5091,5159,5225,5265,5341,5408,5476,5532,5600,5677,5707,5738,5881,5887,5943,6004,6010,6086,6092,6149,6203,6242,6261,6272,6274,6298,6342,6393,6428,6447,6474,6478,6507,6555,6585,6611,6637,6642,6652,6672,6703,6738,6767,6799,6816,6839,6873,6901,6945,6964,6997,7016,7042,7082,7135,7165,7252,7282,7322,7368,7402,7475,7602,7733,7804,7833,7916,7975,8020,8096,8144,8168,8176,8220,8242,8302,8345,8392,8434,8451,8461,8502,8536,8586,8617,8637,8637,8656,8674,8699,8724,8748,8774,8779,8836,8837,8859,8894,8957,8991,9019,9020,9022,9049,9076,9103,9131,9158,9185,9213,9241,9268,9296,9324,9352,9380,9408,9437,9465,9493,9522,9550,9579,9608,9637,9666,9695,9724,9753,9782
,Brandenburg,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,6,9,24,30,44,61,84,94,114,171,204,265,315,353,385,466,516,569,680,766,835,866,933,1000,1116,1313,1375,1457,1472,1512,1697,1780,1864,1869,1874,1880,2097,2170,2212,2255,2340,2371,2402,2470,2480,2587,2694,2704,2745,2787,2815,2843,2912,2939,2966,2994,3015,3036,3065,3094,3124,3142,3160,3179,3187,3196,3205,3214,3219,3225,3231,3235,3239,3243,3248,3253,3259,3265,3271,3277,3283,3290,3297,3304,3306,3308,3311,3316,3321,3323,3325,3328,3331,3334,3337,3341,3345,3349,3353,3358,3362,3365,3388,3388,3388,3394,3407,3413,3454,3463,3472,3475,3479,3483,3487,3495,3503,3512,3519,3526,3533,3535,3538,3538,3538,3538,3538,3538,3538,3539,3540,3541,3542,3543,3544,3551,3558,3562,3566,3570,3575,3580,3580,3584,3588,3593,3597,3601,3605,3609,3614,3618,3622,3626,3631,3635,3639,3643,3648,3652,3656,3660,3665,3669,3673,3677,3682,3686,3690,3695
,Bremen,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,4,4,4,21,38,42,50,53,56,66,66,119,127,168,168,175,186,203,213,264,278,290,298,306,315,332,354,388,395,395,397,424,445,453,469,480,486,491,499,507,555,584,585,603,626,627,672,720,722,739,761,779,798,861,866,871,894,906,919,941,963,1000,1024,1043,1061,1069,1077,1104,1134,1150,1164,1242,1249,1256,1273,1291,1301,1306,1312,1313,1325,1348,1372,1398,1406,1421,1436,1450,1462,1502,1513,1517,1531,1532,1547,1574,1577,1581,1589,1592,1597,1607,1619,1631,1636,1645,1648,1654,1657,1660,1662,1664,1666,1668,1670,1672,1673,1675,1680,1681,1683,1685,1687,1689,1689,1689,1689,1695,1695,1696,1697,1706,1709,1718,1720,1730,1731,1733,1733,1742,1746,1757,1761,1759,1764,1769,1774,1780,1785,1790,1795,1800,1806,1811,1816,1822,1827,1832,1838,1843,1848,1854,1859,1865,1870,1875,1881,1886,1892,1897,1903
,Hamburg,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,8,8,12,13,17,29,48,88,99,158,162,260,312,414,506,664,768,887,989,1237,1450,1614,1759,1935,2078,2214,2252,2290,2557,2739,2882,3019,3088,3088,3370,3444,3518,3663,3742,3770,3887,3925,3953,4064,4297,4322,4347,4401,4401,4479,4558,4558,4608,4658,4670,4682,4801,4812,4823,4834,4844,4855,4872,4889,4907,4921,4936,4951,4960,4972,4976,4976,5017,5029,5034,5042,5042,5053,5059,5062,5066,5069,5069,5072,5076,5078,5082,5085,5089,5098,5098,5102,5106,5111,5113,5115,5117,5121,5133,5134,5139,5139,5144,5146,5149,5154,5155,5160,5163,5170,5170,5175,5175,5176,5177,5178,5194,5201,5203,5211,5212,5219,5220,5220,5222,5224,5228,5231,5231,5231,5231,5231,5231,5233,5236,5237,5240,5240,5243,5244,5251,5275,5291,5304,5325,5326,5321,5331,5342,5353,5364,5374,5385,5396,5407,5418,5429,5440,5451,5462,5473,5484,5495,5506,5517,5528,5539,5551,5562,5573,5584,5596,5607,5618
