Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20,08/28/20,08/29/20,08/30/20,08/31/20,09/01/20,09/02/20,09/03/20,09/04/20,09/05/20,09/06/20,09/07/20,09/08/20,09/09/20
,Peru,-9.19,-75.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,11,15,28,38,43,86,117,145,234,234,318,363,395,416,480,580,635,671,852,950,1065,1323,1414,1595,1746,2281,2561,2954,4342,5256,5897,6848,7519,9784,10303,11475,12491,13489,14420,15628,16325,17837,19250,20914,21648,25331,27517,28699,31190,33931,36976,40459,42534,45928,47372,51189,54817,58526,61847,65015,67307,68822,72059,76306,80604,84495,88541,92273,94933,99483,104020,108769,111698,115754,119959,123979,129751,135905,141779,148285,155671,164476,170039,178165,178914,183198,187400,191758,196515,199696,203736,208823,214788,214788,220749,229736,232992,237156,240908,244388,247925,251338,254936,257447,260810,264689,268602,272364,275989,279419,282365,285213,288477,292004,295599,299080,302718,305703,309278,312911,316448,319646,322710,326326,330123,333867,337751,341586,345537,349500,353590,357681,362087,366550,371096,375961,375961,375961,389717,395005,400683,400683,407492,407492,428850,433100,439890,447624,455409,463875,463875,478024,483133,489680,489680,490251,496150,502119,508161,514275,520463,526726,533063,539477,545968,552538,559186,565914,572724,579615,586589,593647,600790,608019,615335,622739,630232,637815,645489,653256,661116,669071,677121
,Ica,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,8,8,8,12,17,21,28,37,46,51,66,86,89,116,122,136,159,181,200,204,232,254,286,320,336,366,376,427,519,653,706,743,795,826,896,939,1004,1082,1184,1222,1234,1277,1375,1452,1542,1646,1768,1802,1986,2081,2188,2366,2474,2566,2586,2833,3003,3213,3345,3642,3750,3778,3956,4150,4279,4380,4487,4637,4715,4874,5026,5216,5385,5573,5726,5754,5877,5962,6134,6213,6309,6433,6477,6680,6847,6983,7124,7335,7492,7588,7721,7814,7990,8154,8334,8510,8644,8834,8993,9090,9206,9355,9508,9564,9660,9838,10040,10247,10581,10841,10899,10989,11189,11445,11866,12084,12326,12410,12653,12766,12932,13153,13476,13678,13735,14027,14316,14557,14844,15107,15350,15426,15650,15815,15857,15879,16051,16226,16403,16582,16762,16945,17129,17316,17505,17695,17888,18083,18280,18479,18680,18884,19089,19297,19508,19720,19935,20152,20371,20593,20818,21044,21274
Ica,Alto Laran,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,4,9,12,12,12,14,16,19,21,26,26,26,27,27,29,29,29,29,29,29,29,29,29,30,30,30,31,31,31,32,32,32,33,33,34,34,34,36,37,39,40,40,41,41,43,44,44,44,45,46,46,46,46,46,47,47,47,47,53,53,53,53,54,54,54,54,54,54,54,54,55,55,55,55,55,55,57,58,58,58,58,58,58,58,58,57,57,57,57,57,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
Ica,Chavin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ica,Chincha Alta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,6,7,7,8,8,8,10,12,15,18,18,24,25,27,28,32,45,51,52,61,65,68,76,98,124,127,135,136,140,162,165,180,193,215,220,220,231,249,266,280,295,312,322,370,395,405,444,463,472,476,508,518,574,597,665,675,675,677,700,720,733,746,751,757,785,792,810,821,839,850,853,863,872,887,892,902,912,919,950,966,984,993,1030,1039,1055,1081,1102,1132,1165,1193,1220,1228,1237,1245,1254,1254,1265,1280,1286,1300,1310,1323,1343,1403,1422,1429,1429,1435,1461,1480,1483,1503,1504,1509,1515,1521,1530,1534,1539,1541,1554,1558,1566,1576,1586,1592,1596,1601,1605,1609,1610,1615,1620,1626,1631,1636,1642,1647,1652,1658,1663,1669,1674,1680,1685,1691,1697,1702,1708,1713,1719,1725,1730,1736,1742,1748,1753,1759
Ica,Chincha Baja,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,4,5,12,12,15,16,18,18,21,21,21,31,31,31,32,35,36,41,46,48,49,49,49,49,49,49,49,49,49,50,50,53,53,55,55,55,55,55,57,57,59,60,60,64,64,68,68,68,68,68,69,73,74,77,79,79,80,81,82,83,83,84,84,84,84,84,88,88,90,93,93,93,94,118,124,125,127,127,129,129,129,129,130,130,130,130,131,132,135,135,135,136,137,137,137,136,137,137,138,138,139,139,140,140,141,141,142,142,143,143,144,144,145,145,146,146,147,147,148,148,149,149,150
Ica,El Carmen,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,5,5,5,5,5,6,6,6,8,8,8,8,9,10,13,13,20,20,20,21,23,24,24,24,25,25,25,25,26,26,26,26,26,26,26,26,29,29,30,30,31,31,32,33,33,33,33,34,35,37,39,39,39,40,41,41,42,42,42,43,43,43,43,43,43,49,51,51,51,51,52,73,73,73,73,73,73,73,73,73,73,73,73,73,73,75,76,76,76,77,77,77,76,76,77,77,77,78,78,78,79,79,79,80,80,80,81,81,81,82,82,82,83,83,83,84,84,84,85,85
Ica,Grocio Prado,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,5,5,5,6,6,7,8,14,17,17,19,22,23,26,26,37,37,47,48,49,53,59,63,63,72,76,89,104,115,115,115,118,129,137,137,137,137,137,145,148,148,148,152,157,157,157,158,158,161,163,164,165,165,167,175,177,181,181,182,187,188,190,193,195,198,198,198,199,200,200,201,205,205,209,209,213,216,229,234,236,236,238,243,246,246,252,252,254,255,256,256,257,257,257,257,258,258,258,259,261,261,262,263,263,262,263,264,264,265,266,266,267,267,268,269,269,270,271,271,272,273,273,274,275,275,276,277,277,278,279,279,280
Ica,Pueblo Nuevo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,5,5,6,6,7,7,9,12,14,14,14,15,16,21,23,24,24,35,35,35,36,41,46,49,57,68,68,79,81,84,100,104,108,109,126,133,146,157,173,174,174,175,182,190,190,190,190,190,198,199,200,201,212,213,213,213,213,217,220,222,223,223,229,234,247,249,260,264,267,272,275,278,281,282,286,287,293,298,298,298,298,303,304,304,304,311,328,348,358,360,360,366,380,447,448,458,458,459,459,461,466,467,471,471,472,478,480,485,488,491,491,497,500,500,500,502,505,508,510,513,516,518,521,524,526,529,532,535,537,540,543,546,549,551,554,557,560,563,566,569,572,575
Ica,Chincha,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,5,7,8,8,9,10,10,12,14,17,20,21,30,34,36,37,41,55,61,63,73,79,82,95,124,157,161,171,175,181,215,220,240,255,299,309,309,332,377,405,433,462,512,525,636,665,680,769,803,821,827,904,930,1041,1110,1238,1253,1253,1265,1310,1357,1370,1384,1391,1397,1444,1464,1491,1503,1544,1562,1565,1576,1586,1610,1627,1647,1661,1672,1720,1748,1795,1811,1878,1895,1921,1965,1995,2036,2091,2134,2171,2183,2200,2219,2232,2232,2265,2300,2307,2329,2339,2374,2419,2536,2577,2589,2590,2611,2688,2825,2834,2889,2891,2908,2915,2926,2945,2955,2964,2966,2982,3000,3015,3037,3054,3065,3072,3087,3098,3103,3107,3118,3129,3140,3152,3163,3175,3186,3198,3209,3221,3233,3244,3256,3268,3280,3292,3304,3316,3328,3340,3352,3364,3376,3388,3401,3413,3425
