Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,07/20/20,07/21/20,07/22/20,07/23/20,07/24/20,07/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20
,India,20.593684,78.96288,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,28,30,31,34,39,43,56,62,73,82,102,113,119,142,156,194,244,330,396,499,536,657,727,887,987,1024,1251,1397,1998,2543,2567,3082,3588,4778,5311,5916,6725,7598,8446,9205,10453,11487,12322,13430,14352,15722,17615,18539,20080,21370,23077,24530,26283,27890,29451,31324,33062,34863,37257,39699,42505,46437,49400,52987,56351,59695,62808,67161,70768,74292,78055,81997,85784,90648,95698,100328,106475,112028,118226,124794,131423,138536,144950,150793,158086,165386,173491,181827,190609,198370,207191,216824,226713,236184,246622,257486,265928,276146,286605,297535,308993,320922,332424,343091,354065,366946,380532,395048,410451,425282,440215,456183,473105,490401,508953,528859,548318,566840,585481,604641,625544,648315,673165,697413,719664,742417,767296,793802,820916,849522,878254,906752,936181,968857,1003832,1039084,1077781,1118206,1150275,1190703,1232551,1275871,1320713,1367131,1415180,1464918,1516404,1569700,1624869,1681977,1741092,1802285,1865628,1931198,1999072,2069332,2142061,2217346,2295278,2375948,2459453,2545894,2635372,2727995,2823874,2923122
,Anantnag,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,8,15,25,36,48,54,62,71,83,95,99,109,109,110,121,122,122,122,123,123,127,145,145,145,162,177,236,247,252,264,266,272,273,278,278,282,289,295,314,338,350,350,350,377,383,386,445,459,463,470,483,484,485,490,569,579,583,587,588,591,606,608,614,622,622,627,633,635,650,666,674,692,713,717,720,721,729,755,764,775,781,788,802,860,933,939,988,1032,1060,1063,1101,1141,1183,1226,1271,1317,1365,1415,1466,1520,1575,1632,1692,1754,1817,1884,1952,2023,2097,2173,2253,2335,2420,2508,2599,2694,2792
,Bandipora,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,9,10,12,15,19,27,30,39,39,39,39,39,40,41,42,46,51,53,56,66,75,80,84,91,94,97,99,108,116,124,127,127,127,127,128,128,128,130,132,132,134,134,134,134,134,134,134,134,135,135,135,137,137,138,138,139,140,140,140,144,146,146,146,147,147,147,152,161,176,180,194,215,224,225,229,233,233,236,239,242,246,248,251,258,260,270,273,278,280,283,284,288,289,291,294,294,296,298,303,307,308,316,323,328,336,336,365,385,401,419,421,423,428,455,441,453,464,476,488,501,513,526,540,554,568,582,597,612,628,644,660,677,695,712,730,749,768,788,808,828,850,871
,Baramulla,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,20,23,24,29,30,31,33,37,40,41,42,42,42,43,44,44,45,47,50,52,55,62,67,72,73,84,85,88,91,103,104,104,105,106,106,108,109,109,110,110,116,118,118,119,121,129,129,132,136,137,137,143,153,169,177,217,232,238,245,272,301,308,317,449,482,487,495,497,504,512,515,521,525,532,552,561,582,599,617,633,670,685,748,800,806,816,860,909,928,949,1006,1023,1064,1094,1176,1214,1251,1288,1319,1325,1337,1381,1399,1464,1527,1580,1568,1613,1659,1707,1756,1807,1858,1912,1967,2023,2081,2141,2203,2266,2331,2398,2467,2538,2611,2686,2763,2842,2924,3008,3094,3183,3274,3368
,Budgam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,6,7,8,9,10,11,11,11,12,12,12,12,12,13,13,14,14,14,14,14,15,15,15,15,15,15,19,20,21,21,26,30,30,30,31,46,46,46,46,46,53,53,53,58,58,59,59,59,63,64,64,64,64,76,78,89,89,99,110,110,118,124,129,138,142,160,200,209,211,214,220,228,239,245,259,264,289,291,311,326,346,346,347,347,358,371,393,397,416,422,434,439,466,486,489,499,504,522,528,532,561,572,586,628,662,708,749,770,774,809,846,884,924,965,1009,1054,1102,1151,1203,1258,1314,1374,1436,1500,1568,1639,1713,1790,1870,1955,2043,2135,2231,2332,2437,2547
,Doda,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,5,5,26,27,27,30,35,36,41,42,42,43,46,49,57,63,63,63,63,63,63,67,67,68,70,71,72,72,72,74,77,77,80,86,89,90,93,93,106,120,123,124,124,128,134,148,152,154,154,158,161,158,161,165,169,173,177,181,186,190,195,199,204,209,214,219,224,229,235,240,246,252,258,264,270,276,283,289,296
,Ganderbal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,19,23,23,23,23,23,23,23,23,23,24,25,25,27,27,27,27,27,31,31,31,31,32,32,34,34,37,41,42,42,56,57,58,58,59,59,61,61,63,63,64,65,66,67,68,68,73,76,82,82,86,90,91,92,103,110,118,121,125,129,134,138,153,160,161,201,201,205,211,222,251,267,291,287,306,326,348,371,395,422,449,479,511,545,581,619,660,704,751,800,853,910,970,1034,1103,1176,1253,1336,1425,1519,1620
,Jammu,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4,5,6,7,9,9,9,9,10,11,12,14,16,19,19,19,20,21,22,23,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,29,31,31,31,32,35,35,38,38,39,39,45,47,47,67,68,68,72,78,99,109,113,121,128,130,136,144,157,167,178,190,200,222,234,238,242,253,261,267,273,279,279,279,290,298,309,309,310,311,318,322,322,325,333,336,348,359,363,376,388,397,403,415,417,429,452,473,488,513,524,539,553,569,584,624,615,636,657,679,701,724,748,773,798,825,852,880,909,939,970,1002,1035,1070,1105,1142,1179,1218,1259,1300,1343,1387,1433,1481
,Kathua,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,13,17,17,21,31,32,34,36,37,40,40,41,45,49,53,56,59,65,71,74,79,81,82,83,94,105,107,118,121,123,123,149,155,159,160,162,163,175,182,189,194,196,201,203,206,211,211,214,227,232,232,232,242,242,249,254,260,261,265,272,292,300,316,326,326,328,349,352,360,359,368,377,386,395,405,415,425,435,446,456,467,479,490,502,515,527,540,553,566,580,594,609,623,638,654,670,686
,Kishtwar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,6,6,7,7,7,7,7,7,7,7,7,11,11,12,17,17,17,17,17,21,21,21,22,22,22,23,23,23,23,23,24,25,25,25,25,25,25,27,27,27,27,27,27,29,29,29,29,39,40,44,44,45,46,50,55,58,58,68,68,68,66,69,72,76,79,83,86,90,94,99,103,108,112,118,123,128,134,140,147,153,160,167,175,183,191,199,208,218
