Province/State,Country/Region,Lat,Long,1/22/20
,Peru,-9.19,-75.0152,0
,La Libertad,,,0
La Libertad,Agallpampa,,,0
La Libertad,Angasmarca,,,0
La Libertad,Ascope(district),,,0
La Libertad,Ascope,,,0
La Libertad,Bambamarca,,,0
La Libertad,Bolivar(district),,,0
La Libertad,Bolivar,,,0
La Libertad,Buldibuyo,,,0
La Libertad,Cachicadan,,,0
La Libertad,Calamarca,,,0
La Libertad,Carabamba,,,0
La Libertad,Casa Grande,,,0
La Libertad,Cascas,,,0
La Libertad,Chao,,,0
La Libertad,Charat,,,0
La Libertad,Chepen(district),,,0
La Libertad,Chepen,,,0
La Libertad,Chicama,,,0
La Libertad,Chillia,,,0
La Libertad,Chocope,,,0
La Libertad,Chugay,,,0
La Libertad,Cochorco,,,0
La Libertad,Condormarca,,,0
La Libertad,Curgos,,,0
La Libertad,El Porvenir,,,0
La Libertad,Florencia de Mora,,,0
La Libertad,Gran Chimu,,,0
La Libertad,Guadalupe,,,0
La Libertad,Guadalupito,,,0
La Libertad,Huamachuco,,,0
La Libertad,Huancaspata,,,0
La Libertad,Huanchaco,,,0
La Libertad,Huaranchal,,,0
La Libertad,Huaso,,,0
La Libertad,Huaylillas,,,0
La Libertad,Huayo,,,0
La Libertad,Jequetepeque,,,0
La Libertad,Julcan(district),,,0
La Libertad,Julcan,,,0
La Libertad,La Cuesta,,,0
La Libertad,La Esperanza,,,0
La Libertad,Laredo,,,0
La Libertad,Longotea,,,0
La Libertad,Lucma,,,0
La Libertad,Mache,,,0
La Libertad,Magdalena de Cao,,,0
La Libertad,Marcabal,,,0
La Libertad,Marmot,,,0
La Libertad,Moche,,,0
La Libertad,Mollebamba,,,0
La Libertad,Mollepata,,,0
La Libertad,Ongon,,,0
La Libertad,Otuzco(district),,,0
La Libertad,Otuzco,,,0
La Libertad,Pacanga,,,0
La Libertad,Pacasmayo(district),,,0
La Libertad,Pacasmayo,,,0
La Libertad,Paijan,,,0
La Libertad,Paranday,,,0
La Libertad,Parcoy,,,0
La Libertad,Pataz(district),,,0
La Libertad,Pataz,,,0
La Libertad,Pias,,,0
La Libertad,Poroto,,,0
La Libertad,Pueblo Nuevo,,,0
La Libertad,Quiruvilca,,,0
La Libertad,Razuri,,,0
La Libertad,Salaverry,,,0
La Libertad,Salpo,,,0
La Libertad,San Jose,,,0
La Libertad,San Pedro de Lloc,,,0
La Libertad,Sanagoran,,,0
La Libertad,Sanchez Carrion,,,0
La Libertad,Santa Cruz de Chuca,,,0
La Libertad,Santiago de Cao,,,0
La Libertad,Santiago de Challas,,,0
La Libertad,Santiago de Chuco(district),,,0
La Libertad,Santiago de Chuco,,,0
La Libertad,Sarin,,,0
La Libertad,Sartimbamba,,,0
La Libertad,Sayapullo,,,0
La Libertad,Simbal,,,0
La Libertad,Sinsicap,,,0
La Libertad,Sitabamba,,,0
La Libertad,Taurija,,,0
La Libertad,Tayabamba,,,0
La Libertad,Trujillo(district),,,0
La Libertad,Trujillo,,,0
La Libertad,Uchumarca,,,0
La Libertad,Ucuncha,,,0
La Libertad,Under Investigation,,,0
La Libertad,Urpay,,,0
La Libertad,Usquil,,,0
La Libertad,Victor Larco Herrera,,,0
La Libertad,Viru(district),,,0
La Libertad,Viru,,,0
