Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20,08/28/20,08/29/20,08/30/20,08/31/20,09/01/20,09/02/20,09/03/20,09/04/20,09/05/20,09/06/20,09/07/20,09/08/20,09/09/20
,India,20.593684,78.96288,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,28,30,31,34,39,43,56,62,73,82,102,113,119,142,156,194,244,330,396,499,536,657,727,887,987,1024,1251,1397,1998,2543,2567,3082,3588,4778,5311,5916,6725,7598,8446,9205,10453,11487,12322,13430,14352,15722,17615,18539,20080,21370,23077,24530,26283,27890,29451,31324,33062,34863,37257,39699,42505,46437,49400,52987,56351,59695,62808,67161,70768,74292,78055,81997,85784,90648,95698,100328,106475,112028,118226,124794,131423,138536,144950,150793,158086,165386,173491,181827,190609,198370,207191,216824,226713,236184,246622,257486,265928,276146,286605,297535,308993,320922,332424,343091,354065,366946,380532,395048,410451,425282,440215,456183,473105,490401,508953,528859,548318,566840,585481,604641,625544,648315,673165,697413,719664,742417,767296,793802,820916,849522,878254,906752,936181,968857,1003832,1039084,1077781,1118206,1155338,1193078,1238798,1288108,1337024,1385635,1435616,1480073,1531669,1581963,1634746,1695988,1750723,1803695,1855745,1908254,1964536,2027074,2088611,2153010,2215074,2268675,2329638,2396637,2451923,2520548,2591094,2663613,2738163,2814799,2893580,2974566,3057819,3143402,3231380,3321820,3414792,3510365,3608614,3709612,3813438,3920169,4029887,4142676,4258622,4377813,4500340,4626296,4755777,4888883,5025714,5166374
,Agar Malwa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,9,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,19,19,21,23,25,27,35,35,41,42,43,43,49,50,58,64,67,68,74,76,78,80,80,83,85,89,91,91,91,96,101,101,101,102,106,110,118,112,115,118,121,124,128,131,135,139,143,146,151,155,159,163,168,172,177,182,187,192,198,203,209,214,220,226,233
,Alirajpur,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,8,8,8,9,9,10,11,13,16,24,32,33,35,38,44,54,59,76,90,91,96,105,116,126,129,136,142,166,169,171,178,178,181,186,186,196,206,212,214,231,224,231,238,246,254,262,271,279,288,298,307,317,327,338,349,360,372,384,396,409,422,436,450,464,479,495,511,527
,Anuppur,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,17,17,18,19,20,21,23,23,24,24,24,26,26,26,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,31,32,32,35,35,35,47,52,52,52,67,67,69,69,69,69,71,71,72,72,72,72,72,75,75,75,83,85,85,90,95,91,94,97,100,103,107,110,113,117,121,124,128,132,137,141,145,150,155,159,164,170,175,180,186,192,198,204,211
,Ashoknagar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,5,6,6,10,10,12,12,12,12,12,12,12,12,12,12,12,13,13,13,16,32,32,40,40,41,41,41,41,41,41,42,42,42,43,43,43,43,43,43,43,44,44,46,48,48,48,50,52,55,55,55,58,60,63,63,65,66,71,72,75,75,77,78,78,79,79,80,80,80,81,83,83,87,88,90,98,99,99,103,110,110,119,119,124,125,125,128,132,136,139,143,147,151,156,160,165,169,174,179,184,189,194,200,205,211,217,223,229,236,242,249,256,263
,Balaghat,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,11,11,12,12,12,12,12,12,12,17,17,17,17,18,20,20,20,20,20,21,25,26,29,29,33,33,39,40,42,42,46,47,48,51,54,55,55,57,57,61,64,66,74,74,85,97,99,99,106,110,114,130,130,130,131,135,144,149,149,156,161,164,166,173,176,177,182,186,191,196,201,206,211,216,222,227,233,239,245,251,258,264,271,278,285,292,299,307,314,322,331,339,347
,Barwani,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,12,13,14,14,15,16,17,22,22,23,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,29,31,33,34,39,39,39,39,40,41,41,42,42,43,53,53,53,53,53,54,54,58,59,59,62,62,62,62,66,66,70,72,76,76,76,80,80,89,92,97,105,106,108,114,114,116,118,119,126,130,137,150,153,153,156,167,187,187,204,209,222,226,229,232,264,274,289,301,321,349,374,401,434,535,608,660,700,756,764,802,802,829,854,876,900,902,918,926,911,927,943,959,976,993,1011,1028,1046,1065,1083,1102,1122,1141,1161,1181,1202,1223,1245,1266,1288,1311,1334,1357,1381,1405,1430,1455
,Betul,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,9,9,9,9,13,17,19,21,21,21,23,23,26,27,28,31,34,35,35,35,35,35,36,36,37,37,37,38,38,38,38,40,43,45,46,47,47,49,49,49,56,56,57,59,67,69,72,80,81,83,87,91,97,100,104,118,130,137,137,142,153,157,161,171,175,176,184,185,199,209,211,218,220,227,238,250,266,271,274,278,286,293,297,303,307,323,317,325,332,340,347,355,363,371,380,388,397,406,416,425,435,444,454,465,475,486,497,508,520,532,544,556,569,582
,Bhind,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,9,10,12,16,17,19,25,38,42,44,44,48,49,51,51,53,53,56,56,56,57,58,61,70,84,90,104,105,106,110,112,115,115,119,119,124,132,132,138,141,150,151,173,176,189,198,206,211,223,245,255,265,271,287,296,305,313,316,322,338,341,351,366,385,385,399,411,413,419,422,422,423,425,425,428,431,433,446,451,455,455,455,460,476,479,496,496,499,500,507,508,514,511,516,520,524,528,533,537,541,546,550,555,559,564,569,573,578,583,587,592,597,602,607,612,617,622,627,632,637
,Bhopal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,6,7,8,11,15,18,61,85,94,98,116,131,134,142,158,167,196,197,213,214,254,285,303,323,360,388,415,428,458,483,508,526,526,532,563,571,605,652,679,704,743,774,804,858,900,926,954,992,1030,1046,1088,1115,1153,1191,1241,1271,1303,1356,1373,1395,1422,1467,1511,1531,1572,1630,1682,1733,1772,1822,1880,1927,2012,2082,2145,2195,2235,2283,2332,2382,2437,2457,2504,2527,2556,2601,2633,2664,2705,2740,2764,2789,2830,2884,2933,2984,3045,3110,3155,3225,3278,3335,3407,3502,3590,3693,3782,3848,3976,4085,4221,4363,4512,4669,4800,4977,5109,5314,5503,5673,5872,6105,6313,6469,6627,6793,6965,7115,7270,7401,7539,7681,7770,7870,7961,7995,8117,8242,8369,8497,8628,8760,8895,9031,9170,9311,9454,9599,9747,9896,10048,10203,10359,10519,10680,10844,11011,11180,11352,11526,11703,11883,12065
