Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20,08/28/20,08/29/20,08/30/20
,Mexico,23.6345,-102.5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,6,6,7,7,7,8,12,26,41,53,82,93,118,164,203,251,316,367,405,475,585,717,848,993,1094,1215,1378,1510,1688,1890,2143,2439,2785,3181,3441,3844,4219,4661,5014,5399,5847,6297,6875,7497,8261,8772,9501,10544,11633,12872,13842,14677,15529,16752,17799,19224,20739,22088,23471,24905,26025,27634,29616,31522,33460,35022,36327,38324,40186,42595,45032,47144,49219,51633,54346,56594,59567,62527,65856,68620,71105,74560,78023,81400,84627,87512,90664,93435,97326,101238,105680,110026,113619,117103,120102,124301,129184,133974,139196,142690,146837,150264,154863,159793,165455,170485,175202,180545,185122,191410,196847,202951,208392,212802,216852,220657,226089,231770,238511,245251,252165,256848,261750,268008,275003,282283,289174,295268,299750,304435,311486,317635,324041,331298,338913,344224,349396,356255,362274,370712,378285,385036,390516,395489,402697,408449,416179,424637,434193,439046,444198,451813,459559,467438,475451,483602,491893,500325,508903,517627,526501,535527,544708,554046,563545,573206,583033,593028,603194,613535,624054,634752,645634,656702,667961,679412,691059,702907
,Aguascalientes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,6,8,9,10,14,14,31,34,40,45,48,52,53,53,53,55,55,57,61,62,63,63,66,67,69,76,78,90,97,113,125,128,145,158,169,190,201,202,209,226,257,275,302,306,310,313,362,374,390,414,428,428,432,443,486,500,523,550,553,560,596,616,643,673,697,714,722,761,800,836,881,923,938,958,1021,1081,1141,1185,1245,1269,1295,1368,1434,1497,1560,1620,1653,1677,1755,1813,1886,1949,2018,2033,2059,2127,2181,2231,2300,2356,2373,2384,2422,2461,2540,2609,2676,2687,2695,2787,2906,2959,3002,3079,3100,3132,3214,3297,3378,3465,3537,3559,3572,3623,3719,3770,3842,3914,3931,3952,4021,4081,4140,4199,4260,4291,4308,4322,4368,4415,4462,4509,4557,4606,4655,4704,4754,4805,4856,4908,4960,5013,5066,5120,5174,5229,5285,5341,5398,5455,5513,5572,5631,5691,5752
,Baja California,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,5,9,14,20,23,25,35,44,51,62,78,85,106,135,179,245,275,313,338,358,428,469,527,585,633,666,710,791,895,997,1081,1179,1225,1269,1379,1487,1578,1689,1774,1818,1886,1998,2095,2204,2293,2384,2462,2553,2697,2838,2956,3079,3221,3296,3365,3495,3620,3746,3859,4004,4074,4146,4361,4516,4686,4914,5122,5188,5267,5403,5537,5664,5782,5897,5981,6052,6204,6373,6534,6680,6832,6935,7003,7173,7346,7491,7638,7748,7836,7929,8104,8291,8441,8583,8758,8842,8904,9113,9306,9484,9655,9826,9938,9999,10206,10399,10572,10762,10924,10995,11086,11295,11478,11628,11780,11903,11954,12019,12161,12318,12481,12628,12755,12830,12916,13057,13178,13289,13395,13517,13591,13648,13775,13887,13992,14098,14204,14248,14300,14331,14415,14499,14584,14669,14755,14842,14928,15016,15104,15192,15281,15371,15460,15551,15642,15734,15826,15918,16011,16105,16199,16294,16390,16486,16582,16679,16777
,Baja California Sur,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,7,9,9,11,15,19,20,33,40,45,56,72,77,82,105,129,153,175,184,191,196,210,227,232,241,247,250,258,265,277,281,290,303,308,315,325,329,333,347,349,358,364,371,383,393,404,413,419,429,436,452,465,473,478,489,492,503,518,535,543,558,565,574,590,604,626,644,666,679,687,723,741,757,779,801,815,835,888,926,973,1002,1027,1049,1070,1122,1152,1199,1247,1266,1301,1318,1351,1398,1451,1505,1546,1591,1626,1692,1750,1823,1893,1957,2014,2062,2150,2263,2355,2477,2595,2633,2681,2810,2931,3062,3179,3268,3328,3369,3521,3632,3747,3864,3943,3997,4029,4198,4350,4470,4622,4723,4787,4827,4847,4949,5052,5158,5265,5375,5488,5602,5719,5839,5961,6085,6213,6342,6475,6610,6748,6889,7033,7180,7330,7483,7640,7799,7962,8129,8298,8472
,Campeche,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,7,7,8,8,8,8,10,11,11,14,16,16,16,18,19,24,26,28,32,35,39,42,48,50,55,62,68,75,79,85,93,97,103,111,119,125,136,147,165,174,190,201,215,229,236,260,280,296,308,323,338,353,370,391,415,431,456,473,487,520,555,586,615,635,654,661,699,722,741,780,821,845,868,910,968,1037,1111,1145,1172,1193,1291,1372,1476,1563,1662,1716,1754,1858,1950,2035,2125,2219,2271,2318,2387,2476,2546,2638,2697,2728,2764,2843,2933,3023,3120,3227,3278,3332,3436,3498,3612,3716,3805,3849,3896,4000,4097,4181,4260,4340,4372,4394,4458,4541,4608,4668,4719,4750,4779,4791,4841,4891,4942,4993,5045,5097,5150,5204,5258,5313,5368,5423,5480,5537,5594,5652,5711,5770,5830,5891,5952,6014,6076,6139,6203,6267,6333
,Chiapas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,5,7,7,12,13,13,15,17,21,23,28,29,30,35,37,43,46,49,50,50,55,60,66,69,79,83,90,99,108,119,134,147,156,168,189,198,217,230,248,257,271,302,329,364,398,432,455,476,508,554,621,687,768,808,842,935,1000,1074,1179,1278,1334,1384,1530,1662,1787,1929,2055,2125,2195,2341,2485,2599,2708,2837,2907,2980,3120,3249,3359,3455,3562,3630,3690,3786,3877,3990,4085,4167,4220,4260,4355,4441,4539,4627,4711,4753,4797,4866,4920,4983,5035,5099,5141,5164,5207,5250,5283,5314,5355,5376,5400,5437,5463,5492,5515,5545,5555,5584,5617,5638,5659,5676,5710,5723,5737,5758,5781,5800,5817,5843,5858,5867,5876,5894,5912,5930,5947,5965,5983,6001,6019,6037,6055,6073,6092,6110,6128,6147,6165,6184,6202,6221,6240,6258,6277,6296,6315,6334,6353,6372
,Chihuahua,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,4,7,8,9,9,10,12,15,17,19,24,27,32,40,47,52,61,73,86,94,104,114,126,140,151,170,187,212,240,259,279,303,348,387,424,479,524,561,587,643,702,765,837,883,931,962,1022,1098,1173,1236,1293,1335,1385,1456,1507,1585,1660,1722,1776,1830,1914,1982,2048,2136,2203,2266,2296,2374,2434,2490,2539,2617,2640,2674,2743,2819,2869,2915,2980,3008,3036,3106,3160,3216,3273,3316,3338,3362,3411,3473,3519,3573,3626,3657,3679,3727,3775,3824,3862,3919,3947,3965,4029,4096,4184,4260,4313,4337,4362,4435,4498,4574,4628,4716,4761,4788,4890,4964,5051,5126,5184,5225,5251,5332,5415,5520,5608,5671,5707,5733,5785,5830,5858,5882,5913,5934,5950,5942,5971,5999,6028,6056,6085,6114,6144,6173,6202,6232,6261,6291,6321,6351,6382,6412,6443,6473,6504,6535,6566,6598,6629,6661,6693,6724,6757
,Mexico City,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,5,6,6,9,21,38,62,83,93,119,153,184,223,247,259,270,295,330,355,405,444,493,528,605,656,711,782,861,918,973,1091,1218,1343,1470,1617,1727,1841,2109,2356,2584,2834,3161,3358,3543,3989,4422,4821,5165,5673,5920,6142,6637,7172,7737,8268,8595,8916,9209,9927,10516,11196,11900,12688,13080,13434,14230,15032,15911,16703,17626,18212,18572,19631,20632,21654,22597,23490,23952,24284,25293,26185,27153,27977,28881,29408,29803,30841,31739,32699,33609,34540,35038,35411,36406,37383,38304,39160,40065,40443,40758,41654,42619,43528,44419,45277,45689,45941,46762,47623,48411,49213,50076,50426,50707,51635,52521,53473,54312,55216,55561,55772,56709,57618,58528,59236,60053,60412,60643,61654,62512,63649,64703,65798,66395,66626,67687,68730,69849,70872,71835,72283,72506,73426,74334,75275,76168,77001,77456,77653,77825,78482,79144,79812,80485,81165,81850,82540,83237,83940,84648,85362,86083,86809,87542,88281,89026,89777,90535,91299,92069,92846,93630,94420,95217,96021,96831,97648
,Coahuila,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,6,8,11,15,15,15,16,22,22,25,29,33,41,59,73,92,112,135,146,151,177,185,203,209,221,230,236,251,267,283,288,297,306,315,324,344,358,367,380,383,387,411,428,441,461,476,481,486,512,543,577,600,618,627,642,671,701,718,750,785,802,814,875,923,965,1029,1074,1109,1126,1177,1231,1300,1354,1443,1480,1513,1614,1690,1759,1836,1925,1963,2004,2143,2272,2394,2520,2654,2711,2755,2919,3103,3281,3486,3690,3807,3870,4140,4468,4715,4918,5164,5339,5447,5776,6077,6388,6628,6948,7139,7278,7576,7929,8228,8515,8747,8829,8910,9290,9648,9941,10228,10524,10679,10780,11078,11393,11682,11965,12271,12442,12534,12928,13288,13583,13898,14136,14348,14400,14459,14698,14941,15188,15439,15694,15953,16217,16484,16757,17034,17315,17601,17892,18187,18488,18793,19103,19419,19740,20066,20397,20734,21077,21425,21779,22139,22504
,Colima,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,7,7,7,7,7,7,7,7,7,7,8,10,10,10,11,13,15,16,17,18,19,20,23,25,26,26,28,28,28,31,32,32,34,37,42,43,44,46,49,50,52,58,62,74,78,81,86,93,100,108,112,119,123,130,137,144,148,155,163,169,173,184,195,206,214,225,236,240,252,266,278,294,307,318,326,341,365,383,401,428,439,454,475,498,518,542,569,586,599,620,642,678,696,730,743,757,790,826,860,897,955,982,1004,1057,1113,1148,1199,1246,1290,1324,1382,1446,1523,1593,1652,1683,1719,1767,1835,1887,1950,1992,2016,2050,2061,2108,2156,2205,2255,2306,2359,2413,2468,2524,2581,2640,2700,2762,2824,2889,2955,3022,3091,3161,3233,3306,3382,3459,3537,3618,3700,3785
