Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20
,Mexico,23.6345,-102.5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,6,6,7,7,7,8,12,26,41,53,82,93,118,164,203,251,316,367,405,475,585,717,848,993,1094,1215,1378,1510,1688,1890,2143,2439,2785,3181,3441,3844,4219,4661,5014,5399,5847,6297,6875,7497,8261,8772,9501,10544,11633,12872,13842,14677,15529,16752,17799,19224,20739,22088,23471,24905,26025,27634,29616,31522,33460,35022,36327,38324,40186,42595,45032,47144,49219,51633,54346,56594,59567,62527,65856,68620,71105,74560,78023,81400,84627,87512,90664,93435,97326,101238,105680,110026,113619,117103,120102,124301,129184,133974,139196,142690,146837,150264,154863,159793,165455,170485,175202,180545,185122,191410,196847,202951,208392,212802,216852,220657,226089,231770,238511,245251,252165,256848,261750,268008,275003,282283,289174,295268,299750,304435,311486,317635,324041,331298,338913,344224,349396,356255,362274,370712,378285,385036,390516,395489,402697,408449,416179,424637,434193,439046,443813,449961,456100,462690,469407,475902,480278,485836,492522,498380,505751,511369,517714,522162,525733,531239,537031,543806,549734,556216,560164,563705,568621,573888,579914,585738,591712,595841,599560,606036,610957,616894,623090,629409,634023,637509,642860,647321,652364,658299,663973,668381
,Mexico City,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,4,4,4,5,5,6,7,7,10,22,39,63,84,94,120,154,185,224,248,260,271,296,331,356,406,444,493,528,605,656,712,784,863,920,976,1094,1221,1346,1475,1622,1732,1846,2114,2362,2591,2842,3172,3369,3554,4000,4437,4838,5183,5696,5945,6166,6665,7203,7768,8303,8630,8951,9245,9966,10556,11237,11943,12733,13126,13481,14285,15092,15970,16765,17696,18286,18646,19707,20715,21747,22697,23591,24054,24388,25406,26303,27278,28105,29015,29545,29939,30983,31888,32853,33766,34704,35207,35583,36583,37568,38506,39368,40279,40662,40988,41904,42875,43797,44706,45575,46001,46261,47094,47961,48754,49564,50439,50795,51085,52028,52932,53901,54755,55676,56033,56258,57224,58150,59083,59813,60651,61027,61264,62304,63202,64377,65464,66600,67233,67472,68576,69669,70828,71907,72929,73444,73700,74707,75715,76737,77735,78651,79155,79376,80212,81182,82165,83045,83987,84454,84619,85455,86429,87392,88340,89321,89785,89948,90896,92029,93116,94013,95047,95498,95759,96770,97759,99111,100293,101469,102134,102350,103297,104642,105996,107203,108353,108910,109121,109883,110862,111530,111783,111878,111895,111897
Mexico City,Xochimilco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,9,10,10,10,11,15,20,21,23,26,32,32,36,37,47,55,59,64,72,77,90,103,114,120,132,138,146,183,197,222,240,272,289,301,324,350,370,404,426,442,455,504,532,558,601,657,692,720,766,809,862,904,968,1023,1052,1113,1173,1227,1273,1341,1366,1389,1459,1516,1585,1627,1704,1731,1762,1844,1896,1944,2022,2092,2158,2188,2273,2340,2420,2483,2561,2596,2616,2670,2716,2785,2837,2882,2922,2954,3019,3073,3119,3159,3222,3263,3286,3330,3370,3417,3465,3516,3552,3573,3643,3707,3751,3813,3867,3901,3926,3988,4058,4138,4212,4298,4354,4381,4461,4510,4563,4642,4698,4752,4774,4813,4868,4924,4989,5080,5128,5143,5178,5219,5266,5294,5339,5363,5373,5421,5477,5538,5581,5620,5647,5658,5703,5752,5824,5862,5911,5941,5955,6009,6052,6116,6162,6199,6226,6240,6293,6359,6426,6484,6537,6567,6576,6596,6638,6668,6685,6693,6693,6693
Mexico City,Azcapotzalco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,9,11,14,16,19,22,26,29,33,42,44,46,47,53,60,66,72,78,87,93,100,112,124,142,151,156,160,173,193,213,226,243,255,262,286,309,335,359,375,392,399,432,474,509,548,599,616,640,679,726,782,838,899,933,956,1007,1059,1130,1187,1235,1271,1294,1354,1403,1464,1512,1567,1601,1629,1688,1753,1806,1868,1925,1954,1978,2045,2097,2161,2214,2253,2265,2286,2335,2401,2477,2535,2584,2612,2628,2683,2743,2802,2857,2921,2943,2961,3022,3076,3131,3191,3249,3262,3277,3345,3417,3454,3489,3540,3567,3581,3633,3684,3740,3795,3847,3873,3881,3941,3990,4064,4120,4182,4217,4238,4283,4360,4415,4467,4512,4531,4542,4601,4656,4711,4756,4802,4820,4836,4866,4926,4979,5028,5090,5115,5123,5175,5231,5289,5344,5414,5443,5459,5530,5588,5674,5752,5830,5866,5883,5919,5990,6041,6112,6161,6173,6185,6220,6264,6305,6332,6339,6341,6341
Mexico City,Coyoacan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,7,9,10,11,12,12,15,19,23,25,26,28,33,37,39,42,45,49,57,62,73,77,93,108,116,136,145,164,182,199,214,222,253,279,298,329,356,377,384,408,445,482,522,538,557,573,622,659,703,758,815,834,853,906,969,1020,1058,1114,1153,1168,1246,1308,1366,1420,1475,1497,1519,1588,1655,1719,1779,1845,1873,1894,1970,2020,2086,2145,2220,2264,2280,2341,2400,2444,2506,2550,2571,2595,2681,2749,2817,2882,2942,2963,2975,3018,3074,3124,3172,3223,3240,3265,3361,3435,3500,3571,3631,3641,3650,3710,3773,3844,3897,3956,3977,3990,4059,4157,4265,4349,4439,4500,4515,4581,4651,4742,4813,4925,4969,4982,5054,5155,5234,5319,5393,5434,5441,5496,5576,5672,5755,5839,5874,5884,5933,6002,6082,6151,6219,6247,6254,6303,6401,6485,6553,6630,6671,6681,6737,6802,6897,6977,7046,7096,7111,7167,7301,7423,7526,7593,7618,7625,7678,7741,7810,7838,7849,7850,7850
Mexico City,Cuajimalpa De Morelos,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,11,18,20,23,34,38,44,48,48,48,48,53,55,58,65,66,67,70,71,72,73,75,75,75,78,80,81,84,90,93,94,100,102,108,113,116,122,125,130,132,139,148,155,157,158,164,170,182,189,197,202,205,211,224,236,245,251,260,266,276,285,298,307,318,323,326,348,363,380,396,411,414,419,443,470,500,528,553,572,577,613,640,657,680,710,713,726,752,783,805,822,837,850,854,871,886,931,947,969,992,995,1030,1060,1080,1092,1112,1119,1130,1158,1200,1229,1254,1283,1292,1296,1335,1355,1379,1416,1445,1455,1460,1512,1542,1572,1602,1623,1635,1639,1669,1741,1767,1819,1846,1864,1872,1908,1931,1955,1993,2033,2057,2059,2091,2132,2184,2225,2278,2310,2311,2326,2363,2407,2432,2466,2491,2493,2529,2566,2602,2636,2669,2686,2692,2754,2778,2863,2921,2966,2998,2999,3022,3057,3133,3164,3206,3227,3228,3238,3246,3249,3253,3257,3258,3258
Mexico City,Gustavo A. Madero,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,7,7,8,9,11,13,17,20,27,34,46,51,59,70,84,95,102,117,137,158,173,187,192,209,252,277,307,330,376,397,420,468,544,592,651,710,735,756,823,888,954,1021,1069,1108,1135,1244,1324,1398,1496,1605,1654,1701,1812,1910,2032,2151,2270,2331,2371,2520,2666,2824,2952,3060,3115,3154,3310,3438,3562,3672,3792,3852,3901,4063,4209,4378,4512,4636,4686,4732,4839,4979,5113,5227,5339,5383,5421,5553,5669,5772,5854,5967,6002,6035,6108,6203,6295,6404,6511,6539,6577,6691,6796,6894,6994,7073,7120,7139,7248,7349,7453,7526,7604,7637,7661,7777,7863,7983,8096,8212,8277,8310,8465,8589,8713,8841,8944,8988,9023,9128,9227,9357,9452,9562,9618,9643,9742,9871,9950,10051,10172,10214,10233,10342,10450,10581,10704,10828,10870,10883,11003,11122,11260,11351,11484,11537,11572,11682,11790,11966,12122,12284,12385,12407,12518,12695,12860,12999,13191,13298,13319,13417,13526,13558,13574,13586,13587,13588
Mexico City,Iztacalco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,6,6,8,11,11,15,18,20,22,24,27,30,35,41,43,47,56,65,76,98,113,132,152,169,188,198,232,257,276,291,330,344,355,403,448,481,513,536,554,577,629,654,699,744,789,809,830,894,942,986,1043,1096,1130,1148,1205,1255,1300,1356,1413,1434,1454,1501,1552,1596,1643,1685,1712,1735,1787,1829,1878,1926,1968,1996,2010,2057,2092,2121,2161,2193,2220,2234,2288,2337,2381,2416,2445,2468,2483,2517,2552,2591,2632,2662,2676,2691,2717,2745,2781,2813,2835,2845,2855,2886,2930,2952,2985,3008,3021,3031,3075,3102,3126,3167,3197,3214,3225,3278,3322,3361,3397,3438,3455,3467,3518,3558,3596,3647,3677,3690,3697,3754,3794,3825,3869,3903,3916,3925,3943,3990,4033,4077,4121,4140,4148,4211,4270,4311,4355,4398,4416,4435,4485,4529,4592,4637,4681,4709,4731,4780,4826,4877,4935,4994,5013,5019,5043,5088,5116,5122,5123,5123,5123
Mexico City,Iztapalapa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,6,7,8,9,10,15,19,21,25,31,41,46,51,53,60,72,86,101,112,134,153,168,193,214,228,242,292,338,372,428,490,531,583,675,764,852,913,1011,1071,1132,1236,1350,1483,1606,1687,1768,1835,1962,2082,2227,2343,2528,2634,2710,2848,2997,3169,3308,3487,3605,3668,3874,4070,4260,4443,4597,4684,4746,4893,5040,5190,5325,5462,5558,5645,5801,5956,6095,6229,6373,6453,6516,6668,6814,6954,7076,7232,7285,7336,7459,7627,7745,7883,7992,8050,8072,8199,8342,8455,8556,8674,8721,8762,8899,9030,9166,9305,9445,9504,9534,9671,9784,9893,10005,10133,10195,10223,10373,10520,10671,10799,10915,10986,11021,11146,11298,11452,11586,11715,11761,11803,11967,12091,12193,12317,12429,12495,12525,12634,12723,12858,12964,13070,13115,13144,13248,13365,13471,13561,13671,13721,13751,13873,14005,14154,14254,14375,14424,14451,14594,14733,14866,14984,15103,15171,15189,15320,15466,15634,15778,15921,15974,16016,16101,16233,16325,16397,16407,16409,16409
Mexico City,La Magdalena Contreras,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,5,6,6,7,7,12,14,15,15,15,15,21,22,23,24,25,27,28,30,32,35,39,43,45,47,50,62,66,67,82,83,92,94,100,115,125,164,169,172,180,185,200,212,219,220,226,240,253,260,275,291,294,302,331,343,367,399,416,427,432,462,481,498,539,557,572,576,592,619,651,674,699,715,721,746,764,789,810,830,842,851,878,894,918,935,959,966,976,1001,1032,1056,1085,1130,1148,1154,1183,1229,1253,1288,1310,1328,1329,1358,1412,1440,1477,1519,1539,1549,1585,1638,1692,1725,1756,1768,1782,1831,1863,1960,2024,2088,2118,2121,2165,2200,2251,2288,2345,2373,2383,2410,2468,2526,2578,2639,2668,2674,2705,2765,2856,2908,2956,2987,2998,3039,3097,3150,3221,3276,3298,3304,3340,3406,3471,3523,3566,3596,3611,3655,3700,3751,3821,3873,3904,3910,3935,4012,4060,4111,4158,4201,4202,4224,4277,4340,4341,4343,4343,4343
