Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20,08/28/20,08/29/20,08/30/20,08/31/20,09/01/20,09/02/20,09/03/20,09/04/20,09/05/20,09/06/20
,India,20.593684,78.96288,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,28,30,31,34,39,43,56,62,73,82,102,113,119,142,156,194,244,330,396,499,536,657,727,887,987,1024,1251,1397,1998,2543,2567,3082,3588,4778,5311,5916,6725,7598,8446,9205,10453,11487,12322,13430,14352,15722,17615,18539,20080,21370,23077,24530,26283,27890,29451,31324,33062,34863,37257,39699,42505,46437,49400,52987,56351,59695,62808,67161,70768,74292,78055,81997,85784,90648,95698,100328,106475,112028,118226,124794,131423,138536,144950,150793,158086,165386,173491,181827,190609,198370,207191,216824,226713,236184,246622,257486,265928,276146,286605,297535,308993,320922,332424,343091,354065,366946,380532,395048,410451,425282,440215,456183,473105,490401,508953,528859,548318,566840,585481,604641,625544,648315,673165,697413,719664,742417,767296,793802,820916,849522,878254,906752,936181,968857,1003832,1039084,1077781,1118206,1155338,1193078,1238798,1288108,1337024,1385635,1435616,1480073,1531669,1581963,1634746,1695988,1750723,1803695,1855745,1908254,1964536,2027074,2088611,2153010,2215074,2276279,2344946,2415684,2488557,2563627,2640963,2720631,2802703,2887250,2974348,3064073,3156505,3251726,3349819,3450871,3554971,3662212,3772687,3886496,4003737,4124515,4248937,4377112,4509154,4645179,4785307,4929662,5078372
,Amritsar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,5,8,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,13,13,14,14,14,14,14,14,42,90,143,218,218,218,231,277,288,288,296,297,298,298,298,299,301,305,305,307,308,313,314,318,319,329,331,347,354,366,374,377,386,387,389,405,408,434,469,481,502,515,529,592,601,613,633,642,659,698,733,754,758,786,792,806,838,852,871,883,904,911,928,928,938,947,957,968,976,987,1001,1021,1040,1062,1087,1109,1131,1160,1194,1225,1253,1292,1348,1362,1381,1436,1491,1539,1585,1657,1735,1799,1863,1911,1956,1985,2024,2077,2137,2185,2287,2363,2370,2438,2507,2579,2653,2729,2807,2887,2970,3054,3142,3232,3324,3419,3517,3617,3721,3827,3937,4049,4165,4284,4407,4533,4662,4796,4933,5074
,Barnala,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,19,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,24,24,24,24,24,24,25,26,26,27,28,28,29,31,31,31,31,31,39,42,43,43,43,46,46,46,46,50,50,59,59,59,63,64,69,71,71,71,71,71,72,74,74,76,77,79,79,79,79,80,83,84,89,93,96,116,126,143,144,179,191,223,249,284,304,318,351,384,421,432,445,446,476,508,542,578,616,658,702,748,798,852,908,969,1034,1103,1176,1255,1339,1428,1523,1625,1733,1849,1972,2104,2244,2394,2554
,Bathinda,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,35,36,36,37,39,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,47,47,49,49,50,53,54,55,55,55,55,55,56,56,57,57,57,57,61,61,64,64,64,68,79,85,85,85,89,89,90,92,93,99,100,106,110,115,117,122,123,128,129,141,150,151,154,171,173,177,177,194,199,200,242,242,260,287,296,331,331,346,349,425,453,571,585,648,711,737,809,849,867,934,1007,1085,1169,1260,1357,1463,1577,1699,1831,1973,2126,2291,2469,2661,2867,3090,3330,3588,3867,4167,4491,4839,5215,5620,6056,6526
,Faridkot,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,18,45,45,45,45,45,45,46,46,46,46,52,55,59,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,63,66,66,67,69,72,74,80,86,86,86,86,86,87,88,89,89,94,94,95,98,99,100,101,101,101,103,106,106,108,110,111,111,119,127,128,146,148,149,152,153,157,169,175,183,190,196,200,212,212,229,242,248,258,259,260,262,271,294,294,294,315,318,319,332,354,373,391,391,390,403,417,431,445,460,475,491,508,525,542,560,579,598,618,639,660,682,705,729,753,778,804,831,858,887,917,947
,Fatehgarh Sahib,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,9,16,16,16,19,20,24,29,37,48,56,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,58,58,63,64,64,64,65,69,70,70,70,73,73,73,74,76,77,78,81,83,85,87,88,90,100,101,101,107,107,110,111,120,120,121,121,122,123,127,131,131,139,142,144,146,166,173,178,192,192,196,201,217,225,244,258,264,276,286,298,302,333,333,348,369,379,380,393,407,424,451,465,503,493,514,535,558,582,606,632,659,687,716,746,778,811,845,881,918,957,998,1040,1084,1130,1178,1228,1280,1334,1391,1450,1511
,Fazilka,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,38,39,39,39,39,39,40,41,41,41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46,47,48,48,48,48,50,50,50,50,53,54,54,55,55,61,75,75,75,77,90,90,91,91,91,95,100,101,102,103,103,103,103,103,103,105,105,108,112,114,138,142,149,154,154,154,179,187,208,208,232,232,254,263,266,266,303,310,324,327,336,343,359,367,367,366,375,384,393,403,413,423,433,444,454,466,477,489,500,513,525,538,551,565,578,592,607,622,637,652,668,685,701
,Ferozepur,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17,26,29,42,42,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46,46,46,46,47,48,49,51,52,58,59,62,62,62,73,77,81,86,88,90,93,96,96,96,100,102,107,119,119,122,131,143,147,155,157,165,169,190,199,200,215,228,232,234,237,255,272,283,296,296,333,335,408,410,458,500,551,565,584,617,624,641,657,643,666,690,715,741,767,794,823,852,883,914,947,981,1016,1052,1090,1129,1169,1211,1254,1299,1345,1394,1443,1495,1548,1604,1661
,Gurdaspur,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,4,4,5,30,36,84,85,91,115,115,115,121,121,121,121,122,122,122,123,124,125,129,129,130,132,132,132,133,133,136,137,137,138,140,143,145,148,148,151,152,152,165,166,166,166,168,169,171,171,175,176,176,181,191,195,196,198,207,208,216,219,220,224,229,240,242,249,261,263,271,278,286,287,288,289,291,292,297,303,307,310,312,322,323,337,347,363,378,431,456,490,497,505,594,624,658,668,669,723,794,844,878,885,934,985,1039,1095,1155,1219,1285,1356,1430,1508,1591,1678,1770,1867,1969,2076,2190,2310,2436,2570,2710,2859,3015,3180,3354,3538,3731
,Hoshiarpur,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,11,11,11,42,88,88,88,89,89,89,90,90,91,91,92,92,92,92,92,95,95,95,102,102,102,106,106,110,110,114,114,116,120,128,128,131,134,134,134,135,135,135,135,135,137,137,139,141,144,145,150,155,155,162,164,165,165,166,166,171,174,174,178,183,184,185,186,186,186,187,187,190,193,194,196,201,204,207,212,246,258,260,287,289,370,379,449,451,493,512,516,517,521,532,546,550,559,569,575,586,607,619,630,633,645,657,670,683,696,709,723,737,751,766,781,796,811,827,843,859,876,893,910,927,945,964,982,1001,1021,1040,1060
