Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20
,Brazil,-14.235,-51.9253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,200,321,372,621,793,1021,1546,1924,2247,2554,2985,3417,3904,4256,4579,5717,6836,8044,9056,10360,11130,12161,14034,16170,18092,19638,20727,22192,23430,25262,28320,30425,33682,36658,38654,40743,43079,45757,50036,54043,59324,63100,67446,73235,79685,87187,92202,97100,101826,108620,115455,126611,135773,146894,156061,162699,169594,178214,190137,203165,220291,233511,241080,255368,271885,291579,310087,330890,347398,363211,374898,391222,411821,438238,465166,498440,514849,526447,555383,584016,614941,645771,672846,691758,707412,739503,772416,802828,828810,850514,867624,888271,923189,955377,978142,1032913,1067579,1083341,1106470,1145906,1188631,1228114,1274974,1313667,1344143,1368195,1402041,1448753,1496858,1539081,1577004,1603055,1623284,1668589,1713160,1755779,1800827,1839850,1864681,1884967,1926824,1966748,2012151,2046328,2074860,2098389,2118646,2159654,2227514,2287475,2343366,2394513,2406680,2457581,2509559,2562636,2616835,2672181,2728697,2786409,2845341,2905520,2966971,3029722,3093800,3159234,3226051,3294282,3363956,3435103,3507755,3581943,3657701,3735061,3814057,3894724,3977097,4061212,4147106,4234817
,Roraima,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,8,10,12,16,16,16,22,26,30,37,42,42,42,49,52,63,75,79,83,113,114,142,164,201,222,244,247,280,297,304,345,401,407,425,452,519,602,668,740,806,869,932,1020,1124,1202,1290,1295,1328,1411,1500,1589,1706,1791,1876,1985,2067,2146,2306,2374,2439,2514,2583,2682,2959,3098,3299,3474,3692,3850,4143,4483,4831,5238,5529,5768,6056,6347,6594,6712,6842,6875,6881,6935,7150,7421,7650,8037,8120,8188,10340,10803,11872,12911,13078,14341,14459,14641,15153,17583,18323,18769,18922,18948,19088,19284,20154,21220,21849,22225,22627,22968,23681,24397,25007,25373,25467,25686,25985,26954,27932,28874,29394,29338,30018,30713,31425,32153,32898,33660,34439,35237,36053,36889,37743,38617,39512,40427,41364,42322,43302,44305,45332,46382,47456,48555,49680,50831,52009,53213,54446
,Alto Alegre,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,6,7,8,8,11,11,12,12,12,13,15,16,17,28,36,36,43,43,47,50,52,53,53,58,58,59,59,60,64,65,67,78,92,97,100,116,119,120,120,122,125,125,125,130,134,143,150,171,171,171,173,198,203,212,214,217,217,219,219,226,237,243,245,245,247,248,248,258,293,297,308,308,328,332,334,334,345,345,351,356,360,362,373,376,375,381,386,391,396,402,407,413,418,424,430,435,441,447,453,459,466,472,478,485,491,498,505,512,519,526,533,540
,Amajari,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,6,7,8,8,8,11,13,13,13,14,14,18,18,20,22,22,22,28,29,29,29,29,29,36,38,38,38,41,42,42,44,44,47,48,48,49,50,50,50,51,55,58,63,63,63,63,95,100,107,112,114,120,137,141,143,166,166,180,180,181,181,181,186,191,196,202,203,203,203,204,205,206,207,219,230,233,238,238,238,234,237,241,244,247,251,254,258,261,265,269,272,276,280,284,288,292,296,300,304,308,312,317,321,326,330,335,339
,Boa Vista,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,13,13,19,23,24,31,36,36,36,42,45,56,68,70,74,104,105,131,147,183,200,222,225,252,262,268,307,356,362,379,404,460,535,577,612,663,714,771,840,917,970,1049,1054,1071,1135,1189,1256,1336,1384,1459,1535,1602,1640,1742,1802,1838,1870,1924,1997,2237,2357,2512,2614,2761,2885,3133,3406,3705,4000,4210,4423,4628,4846,5061,5155,5204,5206,5207,5243,5421,5578,5625,5905,5956,5994,7606,7953,8823,9705,9789,10883,10942,10986,11443,13523,14132,14444,14567,14580,14785,14915,15338,16012,16449,16568,16820,17045,17581,18195,18721,18996,19061,19131,19214,19955,20724,21403,21834,21674,22163,22663,23173,23696,24230,24776,25334,25906,26489,27087,27697,28321,28960,29613,30280,30963,31661,32374,33104,33850,34613,35393,36191,37007,37841,38694,39566
,Bonfim,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,6,6,11,11,12,17,17,17,17,19,22,27,30,30,41,41,45,45,48,59,59,62,62,66,67,70,76,78,81,81,83,84,90,91,91,93,95,99,103,104,104,104,104,104,107,109,110,116,116,116,116,123,124,128,131,133,145,146,161,164,183,204,204,207,208,212,213,224,225,226,234,237,239,241,243,248,255,255,259,263,274,291,306,309,304,313,322,331,341,351,361,371,382,393,404,416,428,441,453,467,480,494,508,523,538,554,570,586,603,621,639,657
,Canta,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,8,8,8,8,9,14,18,19,19,21,21,21,22,25,27,31,33,35,36,48,49,61,79,79,95,105,106,134,134,156,170,170,177,181,191,201,211,211,230,231,235,235,235,235,235,236,256,264,269,275,281,292,302,315,320,338,349,354,359,378,405,432,434,434,434,435,435,459,485,495,512,527,536,548,556,567,572,574,588,598,626,649,670,687,686,704,723,742,761,782,802,823,845,868,891,914,938,963,989,1015,1042,1069,1098,1127,1156,1187,1218,1251,1284,1318,1353,1388
,Caracarai,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,6,7,7,7,8,11,11,11,12,12,12,12,13,14,14,14,14,14,15,16,16,16,16,18,18,23,23,23,25,29,29,29,30,31,31,32,32,32,32,32,35,36,41,41,42,86,100,118,127,128,135,136,145,160,191,204,205,205,207,211,223,236,255,263,278,283,289,299,316,326,328,332,335,347,380,391,423,433,428,446,464,483,503,524,545,567,591,615,640,667,694,722,752,783,815,849,883,920,957,997,1038,1080,1125,1171,1219,1269
,Caroebe,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,7,8,9,10,11,11,11,15,16,16,16,19,19,20,20,29,29,29,36,39,45,45,45,46,49,49,49,54,54,54,64,66,67,67,67,74,75,89,89,91,109,110,110,112,143,143,143,149,186,197,234,234,234,272,283,284,299,336,336,336,359,359,360,360,422,424,424,424,440,457,457,458,490,491,492,493,493,493,514,514,532,550,616,653,681,685,672,698,725,753,783,813,845,877,911,947,983,1022,1061,1102,1145,1190,1236,1284,1333,1385,1439,1495,1553,1613,1675,1740,1808,1878
,Iracema,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,4,4,4,4,6,6,6,6,6,7,8,8,11,13,14,17,19,19,20,20,20,22,22,22,22,22,26,29,29,54,55,55,55,72,76,80,84,85,86,86,91,93,100,103,103,104,104,105,106,134,138,140,144,146,147,156,163,165,166,166,166,166,170,175,183,183,180,183,186,189,192,195,199,202,205,209,212,216,219,223,227,231,234,238,242,246,251,255,259,263,268,272,277,281
