Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20
,India,20.593684,78.96288,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,28,30,31,34,39,43,56,62,73,82,102,113,119,142,156,194,244,330,396,499,536,657,727,887,987,1024,1251,1397,1998,2543,2567,3082,3588,4778,5311,5916,6725,7598,8446,9205,10453,11487,12322,13430,14352,15722,17615,18539,20080,21370,23077,24530,26283,27890,29451,31324,33062,34863,37257,39699,42505,46437,49400,52987,56351,59695,62808,67161,70768,74292,78055,81997,85784,90648,95698,100328,106475,112028,118226,124794,131423,138536,144950,150793,158086,165386,173491,181827,190609,198370,207191,216824,226713,236184,246622,257486,265928,276146,286605,297535,308993,320922,332424,343091,354065,366946,380532,395048,410451,425282,440215,456183,473105,490401,508953,528859,548318,566840,585481,604641,625544,648315,673165,697413,719664,742417,767296,793802,820916,849522,878254,906752,936181,968857,1003832,1039084,1077781,1118206,1155338,1193078,1238798,1288108,1337024,1385635,1435616,1480073,1531669,1581963,1634746,1683795,1741249,1800663,1862105,1925643,1991349,2059297,2129564,2202228,2277371,2355079,2435438,2518540,2604476,2693345,2785247,2880284,2978564,3080197,3185299,3293987,3406383,3522614,3642812,3767110,3895650,4028576,4166038
,Dhalai,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,27,40,62,86,116,132,148,148,150,151,152,152,160,160,161,162,162,162,162,164,164,164,165,165,165,165,171,175,175,194,194,195,196,199,199,199,199,200,201,201,201,201,201,201,201,202,202,203,204,205,209,209,210,211,213,213,213,213,213,218,242,244,245,248,249,249,249,264,265,270,271,283,296,299,299,409,497,516,549,567,577,581,585,585,594,606,614,618,593,600,608,616,623,631,639,647,656,664,673,681,690,699,707,716,726,735,744,754,763,773,783,793,803,813,823,834
,Gomati,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,7,28,28,28,31,37,41,51,76,85,86,88,92,92,92,95,96,99,102,102,102,102,112,113,116,117,121,121,122,122,122,137,137,138,161,161,163,164,179,179,182,223,228,250,253,263,268,297,299,306,331,353,353,398,432,472,507,534,580,603,619,630,652,691,732,778,778,815,854,894,937,981,1028,1077,1128,1182,1238,1297,1359,1424,1491,1562,1637,1715,1796,1882,1971,2065,2163,2266,2374,2487,2605,2729
,Khowai,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,12,13,13,13,14,14,16,16,23,24,25,26,26,26,28,28,28,28,30,30,30,30,30,35,35,35,36,41,43,43,58,58,61,64,66,67,68,70,79,80,86,126,126,135,138,201,203,203,206,215,219,232,232,247,261,264,276,284,292,302,311,312,324,345,357,366,369,381,393,407,420,434,448,463,478,494,510,527,545,563,581,601,621,641,662,684,707,730,754,779,805,832,859,887
,North Tripura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,5,5,7,8,8,8,8,9,9,9,10,12,12,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,19,21,22,22,23,23,25,25,25,27,28,34,47,51,55,56,63,67,68,69,73,78,79,95,115,123,123,139,152,168,216,233,260,265,271,279,297,318,341,365,363,385,409,434,461,489,519,550,584,620,658,698,741,786,834,885,939,997,1058,1123,1191,1264,1341,1424,1511,1603,1701,1805
,Sipahijala,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,5,5,5,5,5,23,50,101,102,180,181,209,243,292,330,348,355,369,396,474,507,516,518,519,523,523,526,533,536,545,545,549,551,552,561,562,562,562,568,579,588,590,599,599,609,611,624,629,647,652,658,673,690,690,746,768,795,822,846,907,924,951,961,1002,1028,1064,1097,1115,1148,1183,1219,1256,1294,1334,1374,1416,1459,1503,1549,1596,1645,1695,1746,1799,1854,1910,1968,2028,2090,2153,2219,2286,2355,2427,2501
,South Tripura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,5,8,13,30,50,58,68,68,68,68,74,75,76,77,77,77,78,78,80,80,99,99,101,101,106,106,116,130,130,130,131,134,135,136,138,139,139,142,142,143,146,151,152,159,161,168,174,187,187,196,199,208,237,240,260,272,277,277,280,301,314,325,323,334,346,359,372,385,399,413,428,443,459,476,493,510,529,548,567,587,609,630,653,676,701,726,752,779,806,835
,Unassigned,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,6,7,23,24,25,26,27,28,29,30,31,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,118,118,118,118,118,118,118,118,118,118,118,118,118,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
,Unokoti,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,45,47,49,49,50,50,50,50,50,52,52,53,59,59,59,59,59,63,65,65,67,68,68,68,68,68,68,69,71,71,71,71,73,73,73,74,79,80,80,80,82,86,86,90,93,94,94,102,103,109,112,112,113,114,117,117,119,124,125,125,124,126,128,129,131,133,135,137,139,141,143,145,147,149,151,153,155,157,160,162,164,167,169,171,174,176,179,181
,West Tripura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,8,8,8,8,17,19,23,31,40,42,48,61,61,61,61,78,86,86,89,89,89,103,118,121,124,127,143,147,148,148,149,152,153,154,156,158,161,179,196,204,211,224,230,240,244,279,290,327,339,368,380,401,401,431,479,561,626,655,688,716,751,758,798,874,956,1048,1022,1089,1160,1236,1317,1404,1496,1594,1698,1809,1928,2054,2189,2332,2485,2648,2822,3007,3204,3414,3638,3876,4130,4401,4689,4997,5324,5673
,Tripura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,17,30,43,65,89,119,136,152,152,154,155,156,156,167,169,171,173,173,175,175,191,194,198,232,242,244,254,271,316,423,471,622,646,694,749,802,840,866,897,922,963,1046,1079,1089,1090,1133,1154,1181,1189,1224,1240,1263,1263,1295,1330,1339,1351,1385,1393,1401,1440,1533,1558,1581,1692,1716,1773,1789,1931,1962,2067,2093,2183,2281,2379,2497,2668,2891,3093,3345,3471,3677,3777,3882,3919,4066,4287,4503,4722,4739,4930,5130,5337,5553,5778,6012,6255,6509,6772,7046,7331,7628,7937,8258,8592,8940,9302,9678,10070,10477,10901,11342,11802,12279,12776,13293,13831
