Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20
,United Kingdom,55.3781,-3.4360000000000004,0,0,0,0,0,0,0,0,0,2,2,2,8,8,9,9,9,13,14,14,15,16,17,18,18,18,19,19,20,22,23,23,28,30,34,37,44,56,61,94,134,189,245,294,373,428,482,629,887,1298,1787,2266,2630,3072,3684,4452,5451,6506,7760,8957,10333,12668,15039,17732,20816,24017,26839,29696,33969,38484,43398,48263,53178,57198,60792,66067,71517,76646,81498,85813,89390,92885,97068,101393,106458,111756,116721,121437,125289,130147,134907,140397,145540,150513,154261,157729,162431,167152,172587,177543,182270,185491,188465,191843,195527,199358,203125,206174,208324,210645,214228,217617,220915,223524,226041,228106,229932,232506,235547,238253,240795,242825,244332,245680,247287,248937,250739,252473,253977,255076,256145,257579,259046,260388,261622,262727,263518,264235,265321,266474,267656,268657,269710,270597,271404,272430,273507,274504,275524,276504,277170,277792,278684,279566,280340,281037,281675,282308,282703,283307,283710,283770,283774,284276,284900,285416,285768,286349,286979,287621,288133,288953,289603,290133,291373,291911,292552,293239,294066,294792,295372,295817,296377,297146,297914,298681,299426,300111,300658,301455,302301,302753,303467,304182,304899,305618,306339,307061,307785,308510,309238,309967,310697,311430,312164,312900,313638,314377,315118,315861,316606,317352,318100,318850,319602,320355,321111,321868,322627
,London,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,7,9,12,13,17,29,35,53,67,90,104,126,180,271,454,619,755,904,1069,1303,1613,1969,2302,2728,3079,3516,4204,4841,5600,6366,7188,7765,8360,9231,10167,11147,12218,13196,13962,14597,15458,16410,17284,18082,18696,19217,19718,20319,20923,21583,22159,22738,23140,23536,23970,24436,24833,25356,25734,26067,26378,26795,27106,27537,27962,28318,28567,28734,28980,29201,29469,29741,29948,30075,30201,30360,30555,30759,30916,31047,31122,31201,31313,31445,31589,31747,31832,31897,31948,32006,32072,32156,32230,32287,32326,32364,32413,32461,32540,32597,32644,32690,32735,32791,32862,32915,32962,33015,33054,33085,33126,33173,33216,33262,33299,33327,33354,33405,33454,33500,33557,33605,33637,33659,33717,33769,33811,33849,33887,33919,33970,34020,34080,34137,34190,34230,34250,34286,34370,34432,34507,34578,34626,34674,34715,34808,34889,34970,35040,35118,35171,35233,35327,35386,35430,35436,35446,35498,35551,35603,35656,35708,35761,35814,35867,35920,35973,36026,36079,36132,36186,36239,36293,36346,36400,36454,36508,36561,36615,36669,36724,36778,36832,36887
,Edinburgh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,10,14,16,16,17,19,20,23,25,26,34,40,50,64,80,87,108,120,155,179,205,235,275,308,333,359,404,432,462,495,529,539,572,601,640,677,716,777,809,824,876,927,973,1000,1032,1043,1059,1102,1145,1164,1194,1208,1222,1242,1272,1296,1315,1344,1364,1376,1386,1404,1422,1444,1468,1481,1485,1489,1494,1510,1523,1532,1541,1543,1547,1552,1556,1560,1565,1566,1569,1570,1574,1591,1596,1601,1603,1604,1606,1606,1609,1616,1621,1623,1798,1802,1806,1807,1812,1815,1819,1819,1820,1821,1821,1821,1822,1822,1822,1822,1822,1822,1823,1825,1825,1826,1826,1826,1827,1829,1830,1831,1831,1831,1831,1831,1832,1835,1837,1839,1839,1840,1840,1841,1843,1843,1843,1843,1846,1846,1845,1845,1846,1847,1848,1848,1849,1850,1851,1851,1852,1853,1853,1854,1855,1856,1856,1857,1858,1859,1859,1860,1861,1862,1862,1863,1864,1865
,Cardiff,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,5,9,15,22,33,40,55,66,79,90,115,134,163,197,230,269,298,353,412,484,568,632,678,707,784,859,923,1002,1049,1093,1133,1179,1239,1284,1334,1375,1412,1442,1486,1521,1558,1589,1614,1641,1655,1669,1696,1707,1738,1763,1782,1791,1800,1813,1824,1841,1850,1860,1874,1886,1899,1907,1913,1929,1939,1946,1955,1972,1986,2000,2011,2031,2043,2054,2061,2074,2092,2102,2110,2118,2128,2141,2157,2167,2170,2176,2180,2192,2203,2205,2210,2214,2219,2220,2224,2228,2232,2238,2241,2243,2247,2253,2255,2257,2260,2261,2271,2275,2278,2280,2281,2283,2285,2286,2288,2290,2292,2292,2292,2294,2294,2295,2295,2296,2299,2300,2301,2301,2301,2303,2309,2311,2313,2316,2316,2316,2316,2316,2317,2317,2315,2315,2316,2316,2317,2317,2318,2318,2319,2319,2320,2320,2321,2321,2322,2322,2323,2323,2324,2324,2325,2325,2326,2326,2327,2327,2328,2328
,England,,,0,0,0,0,0,0,0,0,2,2,2,2,3,3,4,5,6,8,9,9,10,10,10,10,10,10,10,10,10,10,11,11,12,13,18,22,29,40,45,65,104,157,206,253,326,373,423,547,770,1123,1538,1930,2244,2641,3188,3868,4777,5708,6788,7824,9033,11051,13078,15342,17956,20616,22991,25433,28960,32742,36843,40910,45011,48403,51487,55875,60452,64754,68819,72399,75479,78427,81864,85425,89663,94026,98110,102232,105706,109394,113362,118158,122730,127101,130474,133612,137644,141763,146502,150816,154913,157655,160288,163135,166280,169547,172751,175371,177163,179172,182240,185167,188047,190255,192384,194155,195747,197962,200546,202898,205175,206976,208276,209474,210855,212321,213937,215512,216882,217882,218867,220178,221524,222757,223894,224911,225628,226292,227285,228343,229430,230350,231290,232076,232823,233762,234754,235664,236608,237423,238052,238603,239419,240149,240877,241514,242158,242661,243071,243739,244312,244921,245480,246023,246409,246948,247600,248155,248825,249507,250027,250442,250790,251474,252119,252837,253477,254019,254484,254879,255626,256313,257058,257781,258477,258961,259463,260202,260778,261290,261348,261507,261994,262483,262973,263463,263954,264447,264940,265434,265929,266425,266922,267420,267918,268418,268919,269420,269923,270426,270930,271436,271942,272449,272957,273466,273976,274487,274999
,European Union,,,0,0,2,3,3,4,8,10,10,14,19,21,29,30,31,31,32,41,44,44,47,48,49,50,51,51,52,52,53,55,56,56,61,63,78,109,175,237,370,561,773,977,1383,2026,3041,3947,4968,6054,8639,11705,12889,21871,26564,31757,39435,47322,56995,70915,85166,100100,114096,135974,155088,180419,209768,239252,269588,293653,321615,353404,384920,415148,446843,474571,496374,519838,545719,574064,601184,628358,649807,693349,712041,729993,754260,789319,812230,828567,849704,865456,883128,900763,918904,933412,945186,955151,967742,980126,991111,1001907,1012772,1021201,1028534,1035524,1045250,1057971,1068633,1078992,1086204,1092756,1102582,1110630,1118182,1125379,1132609,1138263,1142780,1148321,1155834,1163019,1169351,1176732,1181365,1185565,1189630,1195156,1200563,1207988,1213780,1219676,1223191,1226763,1230685,1236232,1240893,1246069,1251117,1255291,1259082,1263586,1267970,1273011,1278806,1283503,1287384,1291057,1295699,1300867,1307332,1313622,1317661,1320988,1324295,1330204,1335412,1340953,1346425,1350376,1353322,1359206,1363195,1368180,1372765,1377573,1381316,1384167,1389747,1393332,1398177,1403129,1408442,1412892,1416140,1422189,1427056,1432318,1438799,1445654,1450379,1454218,1463808,1469656,1476934,1485598,1494384,1500427,1505479,1517291,1524417,1533336,1543760,1547513,1555894,1564320,1572792,1581310,1589875,1598485,1607142,1615846,1624598,1633396,1642242,1651136,1660079,1669069,1678109,1687197,1696335,1705522,1714759,1724046,1733383,1742771,1752209,1761699,1771240,1780833,1790478
,Europe,,,0,0,2,3,3,4,8,10,10,16,21,23,31,32,33,33,35,44,47,47,50,51,52,53,54,54,55,55,56,58,76,118,216,292,400,563,832,1128,1502,2259,2821,3494,4495,5914,7717,9870,12399,15283,18885,24287,28161,39747,47957,56781,67753,79228,93187,112515,132941,154524,174327,201131,225715,256621,292472,328371,365097,394919,427439,464064,501116,537243,574744,608463,635906,664362,695027,728999,762635,796548,825148,875705,900676,925080,956290,999265,1030614,1055785,1086175,1108668,1134646,1161198,1187216,1211045,1231664,1250707,1271352,1292562,1311958,1331895,1352267,1372442,1391418,1409823,1430117,1454586,1477586,1499651,1518058,1535369,1556553,1575713,1593432,1610985,1628782,1643755,1657791,1671536,1688075,1703282,1717982,1733814,1747460,1759609,1771285,1784809,1797952,1813139,1826846,1840709,1852530,1864113,1875807,1889074,1901473,1914744,1927716,1939593,1951106,1962781,1974189,1987132,2000543,2013020,2024449,2035295,2047068,2059481,2072795,2086007,2096615,2106161,2115934,2128100,2139821,2151837,2163600,2173561,2182589,2194044,2203605,2214065,2224850,2235854,2245264,2254042,2265385,2274400,2285217,2296006,2307471,2318042,2327121,2338405,2348446,2359813,2372037,2385272,2396034,2405503,2420137,2431550,2444922,2459458,2474318,2485942,2497155,2514871,2527728,2542781,2559405,2569111,2583627,2598226,2612907,2627671,2642518,2657450,2672465,2687566,2702752,2718023,2733381,2748826,2764358,2779978,2795686,2811482,2827368,2843344,2859410,2875567,2891815,2908155,2924587,2941112,2957731,2974443,2991250
,Scotland,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,23,27,36,60,84,123,155,170,191,221,266,322,373,416,499,584,719,894,1059,1264,1417,1632,1993,2310,2602,3001,3345,3706,3961,4229,4565,4957,5275,5590,5912,6067,6358,6748,7102,7409,7820,8187,8450,8672,9038,9409,9697,10051,10324,10521,10721,11034,11353,11654,11927,12097,12266,12437,12709,12924,13149,13305,13486,13627,13763,13929,14117,14260,14447,14537,14594,14655,14751,14856,14969,15041,15101,15156,15185,15240,15288,15327,15382,15400,15418,15471,15504,15553,15582,15603,15621,15639,15653,15665,15682,15709,15730,15755,18030,18045,18066,18077,18104,18130,18156,18170,18182,18191,18196,18213,18228,18236,18241,18251,18259,18264,18276,18287,18296,18300,18302,18309,18315,18333,18340,18359,18365,18368,18373,18384,18401,18422,18445,18452,18474,18484,18500,18520,18547,18551,18554,18558,18580,18597,18592,18604,18616,18629,18641,18653,18665,18678,18690,18702,18715,18727,18739,18752,18764,18776,18789,18801,18814,18826,18838,18851,18863,18876,18888,18900,18913,18925
,Wales,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,5,7,8,11,23,38,63,91,109,140,177,214,250,310,382,457,533,664,804,992,1167,1357,1523,1680,2018,2291,2615,2949,3278,3560,3782,4162,4540,4924,5315,5620,5864,6110,6380,6695,7052,7411,7734,7979,8159,8435,8689,8941,9140,9350,9485,9606,9777,9929,10101,10300,10474,10651,10756,10894,11066,11237,11411,11524,11660,11765,11941,12091,12241,12372,12550,12716,12834,13000,13211,13377,13509,13646,13769,13851,13957,14059,14177,14279,14386,14456,14502,14567,14639,14714,14773,14828,14881,14915,14988,15050,15117,15183,15258,15327,15381,15446,15527,15592,15653,15793,15840,15915,15979,16108,16145,16203,16222,16361,16389,16432,16467,16495,16523,16542,16551,16563,16598,16625,16639,16661,16690,16702,16712,16735,16758,16776,16801,16818,16829,16839,16882,16943,16968,16999,17029,17053,17088,17110,17126,17128,17128,17115,17131,17146,17161,17176,17191,17207,17222,17237,17252,17268,17283,17298,17314,17329,17344,17360,17375,17390,17406,17421,17437,17452,17468,17483,17498,17514,17529
,World,,,555,654,941,1434,2118,2927,5578,6166,8234,9928,12038,16788,19888,23898,27643,30802,34395,37129,40159,42768,44810,45228,60381,66908,69050,71234,73269,75151,75651,76211,76840,78601,78981,79545,80398,81375,82739,84116,86011,88395,90369,92947,95246,98037,101981,106019,109973,113875,118898,126561,132311,146718,157826,168975,183640,199487,219084,247003,276613,308922,342342,384509,425691,476574,539407,603807,671460,731037,795679,872085,948293,1029709,1112861,1193325,1265038,1337906,1414581,1498361,1585026,1672621,1749576,1846414,1916083,1985911,2066749,2163427,2251146,2327564,2405608,2478960,2554241,2633286,2720028,2817065,2899145,2970420,3037365,3111529,3189023,3271615,3358705,3439434,3516769,3592111,3672100,3762120,3852877,3945965,4031637,4107457,4183849,4266696,4351858,4448549,4544028,4638432,4716998,4805053,4901656,5004686,5111123,5218012,5323282,5418765,5506117,5599309,5702774,5819870,5941029,6078860,6186412,6281611,6403345,6522401,6648720,6779589,6915546,7027841,7129960,7254316,7388314,7526434,7655472,7791429,7924903,8044541,8186074,8328067,8468072,8649167,8806595,8935209,9072485,9237865,9409585,9588120,9778497,9957117,10119820,10276546,10450365,10668020,10875765,11079333,11273653,11456526,11622937,11833781,12046313,12273810,12506387,12723136,12916181,13107975,13330059,13560738,13813414,14055313,14293709,14508958,14714373,14948106,15228578,15511323,15792473,16048843,16254677,16487726,16740057,17029893,17295578,17516306,17789905,18067778,18349992,18636613,18927711,19223357,19523620,19828573,20138289,20452843,20772310,21096768,21426293,21760965,22100865,22446074,22796675,23152752,23514391,23881679,24254704,24633555,25018324,25409102,25805985,26209067,26618444
